;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 144B Cooperación, promoción y difusión educativa en el exterior;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;18.08;;Total;
1;GASTOS DE PERSONAL;1.348,79;;1.348,79;
12; Funcionarios;1.232,23;;1.232,23;
13; Laborales;88,07;;88,07;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;28,49;;28,49;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;601,54;;601,54;
22; Material, suministros y otros;601,54;;601,54;
4;TRANSFERENCIAS CORRIENTES;9.292,92;;9.292,92;
48; A familias e instituciones sin fines de lucro;8.844,87;;8.844,87;
49; Al exterior;448,05;;448,05;
;TOTAL;11.243,25;;11.243,25;
;;



