;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;Programa: 32US C21.R02 Diseño y aplicación de nuevo modelo curricular por competencias clave, priorizando aprendizajes fundamentales, y regulación de una ordenación académica inclusiva;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;18.50;;Total;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;400,00;;400,00;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;400,00;;400,00;
;TOTAL;400,00;;400,00;
;;



