Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
18.04;45;A Comunidades Autónomas – Libros de texto y material didáctico;58.559,61;58.559.610,00
18.04;48;A familias e instituciones sin fines de lucro – Otras becas y ayudas;90,00;90.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES – DG Evaluación y Cooperación Territorial;58.649,61;58.649.610,00
—;—;TOTAL DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL;58.649,61;58.649.610,00
18.05;48;A familias e instituciones sin fines de lucro – Becas y otras ayudas;160,00;160.000,00
—;—;TOTAL SECRETARÍA GENERAL DE FORMACIÓN PROFESIONAL;160,00;160.000,00
18.08;12;Funcionarios;1.048,52;1.048.520,00
18.08;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;87,83;87.830,00
—;—;TOTAL GASTOS DE PERSONAL – DG Planificación y Gestión Educativa;1.136,35;1.136.350,00
18.08;22;Material, suministros y otros;172,02;172.020,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;172,02;172.020,00
18.08;35;Intereses de demora y otros gastos financieros;1;1.000,00
—;—;TOTAL GASTOS FINANCIEROS;1;1.000,00
18.08;48;Becas y ayudas al estudio de carácter general;2.474.326,19;2.474.326.190,00
18.08;48207;Compensación a la UNED – Exención precios públicos estudiantes con discapacidad;6.226,40;6.226.400,00
18.08;483;Becas y ayudas escolares;4.885,00;4.885.000,00
18.08;484;Otras becas y ayudas;10.453,93;10.453.930,00
18.08;48404;Olimpiada Española de Biología – Organización internacional;40;40.000,00
—;—;TOTAL TRANSFERENCIAS CORRIENTES – DG Planificación y Gestión Educativa;2.489.665,12;2.489.665.120,00
—;—;TOTAL DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;2.490.974,49;2.490.974.490,00
—;—;TOTAL PROGRAMA 323M – Becas y ayudas a estudiantes;2.549.784,10;2.549.784.100,00
