 Económico;Explicación;18.04;Total (miles  euros);Total (euros)
1;GASTOS DE PERSONAL;3,87;3,87;3.870,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;3,87;3,87;3.870,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;800,61;800,61;800.610,00
21;Reparaciones, mantenimiento y conservación;8,88;8,88;8.880,00
22;Material, suministros y otros;419,43;419,43;419.430,00
23;Indemnizaciones por razón del servicio;372,30;372,30;372.300,00
4;TRANSFERENCIAS CORRIENTES;1.032,96;1.032,96;1.032.960,00
48;A familias e instituciones sin fines de lucro;1.032,96;1.032,96;1.032.960,00
6;INVERSIONES REALES;10;10,00;10.000,00
62;Inversión nueva asociada al funcionamiento operativo;10;10,00;10.000,00
—;TOTAL PROGRAMA 321N – Formación permanente del profesorado de Educación;1.847,44;1.847,44;1.847.440,00
