Económica;Explicación;18.106;18.303;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;13.155,23;1.888,94;15.044,17;15.044.170,00
10;Altos cargos;141,34;76,65;217,99;217.990,00
11;Personal eventual;256,59;—;256,59;256.590,00
12;Funcionarios;5.713,96;705,76;6.419,72;6.419.720,00
13;Laborales;3.771,89;455,9;4.227,79;4.227.790,00
15;Incentivos al rendimiento;851,23;142,14;993,37;993.370,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.420,22;508,49;2.928,71;2.928.710,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;16.303,22;1.874,62;18.177,84;18.177.840,00
20;Arrendamientos y cánones;—;140;140;140.000,00
21;Reparaciones, mantenimiento y conservación;1.614,39;23,8;1.638,19;1.638.190,00
22;Material, suministros y otros;14.262,96;1.617,57;15.880,53;15.880.530,00
23;Indemnizaciones por razón del servicio;400,87;92,75;493,62;493.620,00
24;Gastos de publicaciones;25;0,5;25,5;25.500,00
3;GASTOS FINANCIEROS;160;—;160;160.000,00
35;Intereses de demora y otros gastos financieros;160;—;160;160.000,00
4;TRANSFERENCIAS CORRIENTES;191.849,22;632,87;192.482,09;192.482.090,00
45;A Comunidades Autónomas;7.880,00;100;7.980,00;7.980.000,00
46;A Entidades Locales;45.477,50;—;45.477,50;45.477.500,00
47;A empresas privadas;130;—;130;130.000,00
48;A familias e instituciones sin fines de lucro;138.361,72;—;138.361,72;138.361.720,00
49;Al exterior;—;532,87;532,87;532.870,00
6;INVERSIONES REALES;4.127,98;106,13;4.234,11;4.234.110,00
62;Inversión nueva asociada al funcionamiento operativo;875,75;20,54;896,29;896.290,00
63;Inversión de reposición asociada al funcionamiento operativo;2.494,24;46;2.540,24;2.540.240,00
64;Gastos de inversiones de carácter inmaterial;757,99;39,59;797,58;797.580,00
7;TRANSFERENCIAS DE CAPITAL;17.832,66;—;17.832,66;17.832.660,00
75–78;A CCAA, entidades locales, empresas privadas, familias e instituciones;17.832,66;—;17.832,66;17.832.660,00
8;ACTIVOS FINANCIEROS;642,51;12,49;655;655.000,00
83;Concesión de préstamos fuera del Sector Público;642,51;12,49;655;655.000,00
—;TOTAL PROGRAMA 336A – Fomento y apoyo de las actividades deportivas;244.070,82;4.515,05;248.585,87;248.585.870,00
