;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 03 TRIBUNAL DE CUENTAS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;TRIBUNAL, FISCALÍA Y SERVICIOS GENERALES;;;
v;;911O;;Control externo del Sector Público;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;1.617,04;
;;;100;Retribuciones básicas y otras remuneraciones;;1.617,04;
;;;10000; Retribuciones básicas;485,11;;
;;;10001; Retribuciones complementarias;1.131,93;;
v;;;11;Personal eventual;;1.631,94;
;;;110;Retribuciones básicas y otras remuneraciones;;1.631,94;
;;;11000; Retribuciones básicas;511,79;;
;;;11001; Retribuciones complementarias;1.120,15;;
v;;;12;Funcionarios;;48.432,30;
;;;120;Retribuciones básicas;;14.640,37;
;;;12000; Sueldos del grupo A1 y grupo A;3.542,62;;
;;;12001; Sueldos del grupo A2 y grupo B;4.751,22;;
;;;12002; Sueldos del grupo C1 y grupo C;636,92;;
;;;12003; Sueldos del grupo C2 y grupo D;570,24;;
;;;12005; Trienios;2.485,65;;
;;;12006; Pagas extraordinarias;2.653,72;;
;;;121;Retribuciones complementarias;;33.554,94;
;;;12100; Complemento de destino;6.828,96;;
;;;12101; Complemento específico;23.774,98;;
;;;12181; Necesidades adicionales;2.951,00;;
;;;124;Retribuciones de funcionarios en prácticas;;236,99;
;;;12400; Sueldos del grupo A1 y grupo A;61,31;;
;;;12401; Sueldos del grupo A2 y grupo B;151,02;;
;;;12406; Pagas extraordinarias;24,66;;
v;;;13;Laborales;;6.718,60;
;;;130;Laboral fijo;;6.718,60;
;;;13000; Retribuciones básicas;2.072,27;;
;;;13001; Otras remuneraciones;4.646,33;;
v;;;15;Incentivos al rendimiento;;4.842,29;
v;;;150;Productividad;;4.825,76;
v;;;151;Gratificaciones;;16,53;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;5.277,70;
;;;160;Cuotas sociales;;4.379,15;
v;;;16000; Seguridad Social;4.379,15;;
;;;162;Gastos sociales del personal;;898,55;
v;;;16200; Formación y perfeccionamiento del personal;106,28;;
v;;;16204; Acción social;572,27;;
;;;16205; Seguros;120,00;;
;;;16209; Otros;100,00;;
;;;;TOTAL GASTOS DE PERSONAL;;68.519,87;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;1.922,76;
v;;;202;Arrendamientos de edificios y otras construcciones;;1.922,76;
v;;;21;Reparaciones, mantenimiento y conservación;;740,80;
;;;212;Edificios y otras construcciones;;151,10;
;;;213;Maquinaria, instalaciones y utillaje;;77,73;
;;;215;Mobiliario y enseres;;10,00;
;;;216;Equipos para procesos de la información;;501,97;
