Servicio;Programa;Económica;Explicación;Total (miles €);Total (euros)
3;911O;1;GASTOS DE PERSONAL;68.519,87;68.519.870,00
3;911O;10;Altos cargos;1.617,04;1.617.040,00
3;911O;11;Personal eventual;1.631,94;1.631.940,00
3;911O;12;Funcionarios;48.432,30;48.432.300,00
3;911O;13;Laborales;6.718,60;6.718.600,00
3;911O;15;Incentivos al rendimiento;4.842,29;4.842.290,00
3;911O;150;Productividad;4.825,76;4.825.760,00
3;911O;151;Gratificaciones;16,53;16.530,00
3;911O;16;Cuotas, prestaciones y gastos sociales;5.277,70;5.277.700,00
3;911O;16000;Seguridad Social;4.379,15;4.379.150,00
3;911O;16200;Formación y perfeccionamiento del personal;106,28;106.280,00
3;911O;16204;Acción social;572,27;572.270,00
3;911O;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.832,27;6.832.270,00
3;911O;20;Arrendamientos y cánones;1.922,76;1.922.760,00
3;911O;202;Arrendamientos de edificios;1.922,76;1.922.760,00
3;911O;21;Reparaciones, mantenimiento y conservación;740,8;740.800,00
3;911O;22;Material, suministros y otros;3.591,28;3.591.280,00
3;911O;22109;Labores FNMT;3,99;3.990,00
3;911O;22502;Locales;250;250.000,00
3;911O;22601;Atenciones protocolarias y representativas;25;25.000,00
3;911O;23;Indemnizaciones por razón del servicio;561,22;561.220,00
3;911O;24;Gastos de publicaciones;16,21;16.210,00
3;911O;4;TRANSFERENCIAS CORRIENTES;8,5;8.500,00
3;911O;49;Al exterior;8,5;8.500,00
3;911O;490;Cuota INTOSAI y OLACEFS;8,5;8.500,00
3;911O;6;INVERSIONES REALES;2.876,52;2.876.520,00
3;911O;62;Inversión nueva funcionamiento operativo;2.755,52;2.755.520,00
3;911O;63;Inversión de reposición funcionamiento operativo;121;121.000,00
3;911O;8;ACTIVOS FINANCIEROS;135,2;135.200,00
3;911O;83;Concesión de préstamos fuera del Sector Público;135,2;135.200,00
3;911O;831;Préstamos a largo plazo;135,2;135.200,00
3;911O;—;TOTAL TRIBUNAL DE CUENTAS;78.372,36;78.372.360,00
3;—;—;TOTAL TRIBUNAL DE CUENTAS;78.372,36;78.372.360,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
; ;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
; ;;;;
;;;;;
;;;;;
;;;;;
;;;;;
; ;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
; ;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
; ;;;;
;;;;;
; ;;;;
;;;;;
; ;;;;
; ;;;;
