Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
29.101;15;Incentivos al rendimiento;836,98;836.980,00
29.101;150;Productividad;832,86;832.860,00
29.101;151;Gratificaciones;4,12;4.120,00
29.101;16000;Seguridad Social;1.895,37;1.895.370,00
29.101;16200;Formación y perfeccionamiento del personal;40,65;40.650,00
29.101;16201;Economatos y comedores;40;40.000,00
29.101;16204;Acción social;29,4;29.400,00
—;—;TOTAL GASTOS DE PERSONAL;10.990,30;10.990.300,00
29.101;202;Arrendamientos de edificios y otras construcciones;65;65.000,00
29.101;22502;Locales;268,18;268.180,00
—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.350,37;5.350.370,00
29.101;35;Intereses de demora y otros gastos financieros;5;5.000,00
29.101;352;Intereses de demora;5;5.000,00
—;—;TOTAL GASTOS FINANCIEROS;5;5.000,00
29.101;6;INVERSIONES REALES;3.168,72;3.168.720,00
29.101;83;Concesión de préstamos fuera del Sector Público;30;30.000,00
29.101;831;Préstamos a largo plazo;30;30.000,00
—;—;TOTAL ACTIVOS FINANCIEROS;30;30.000,00
;;29.101;19.544,39;19.544.390,00
 ; ;;;
