Económica;Explicación;29.03;29.05;29.06;29.102;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;1.711,10;3.273,28;1.930,51;663,28;7.578,17;7.578.170,00
10;Altos cargos;80,3;61,04;61,04;;202,38;202.380,00
11;Personal eventual;253,2;;;;253,2;253.200,00
12;Funcionarios;985,04;2.461,61;1.529,63;543,68;5.519,96;5.519.960,00
13;Laborales;51,32;256,72;;;308,04;308.040,00
15;Incentivos al rendimiento;;;;72,21;72,21;72.210,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;341,24;493,91;339,84;47,39;1.222,38;1.222.380,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;261,33;907,29;418,5;371,92;1.959,04;1.959.040,00
21;Reparaciones, mantenimiento y conservación;;;;57,8;57,8;57.800,00
22;Material, suministros y otros;186,8;875,35;396,37;285;1.743,64;1.743.640,00
23;Indemnizaciones por razón del servicio;74,53;31,94;22,13;9;137,6;137.600,00
24;Gastos de publicaciones;;;;20;20;20.000,00
4;TRANSFERENCIAS CORRIENTES;;428.938,44;5.420,00;8.778,91;443.137,35;443.137.350,00
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y Sector Público;;105;;;105;105.000,00
45;A Comunidades Autónomas;;320.440,07;;333,36;320.773,43;320.773.430,00
46;A Entidades Locales;;26;;;26;26.000,00
48;A familias e instituciones sin fines de lucro;;108.367,37;5.420,00;8.445,55;122.232,92;122.232.920,00
6;INVERSIONES REALES;;;;57,5;57,5;57.500,00
62;Inversión nueva asociada al funcionamiento operativo;;;;27;27;27.000,00
63;Inversión de reposición asociada al funcionamiento operativo;;;;30,5;30,5;30.500,00
7;TRANSFERENCIAS DE CAPITAL;1.093,00;7.000,00;;200;8.293,00;8.293.000,00
76;A Entidades Locales;1.093,00;7.000,00;;;8.093,00;8.093.000,00
78;A familias e instituciones sin fines de lucro;;;;200;200;200.000,00
8;ACTIVOS FINANCIEROS;;;;6,51;6,51;6.510,00
83;Concesión de préstamos fuera del Sector Público;;;;6,51;6,51;6.510,00
—;TOTAL GENERAL PROGRAMA 231F;3.065,43;440.119,01;7.769,01;10.078,12;461.031,57;461.031.570,00
