Económica;Explicación; 29.10;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.332,15;2.332,15;2.332.150,00
10;Altos cargos;61,04;61,04;61.040,00
12;Funcionarios;1.767,90;1.767,90;1.767.900,00
13;Laborales;283,21;283,21;283.210,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;220;220;220.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.065,60;4.065,60;4.065.600,00
22;Material, suministros y otros;4.036,87;4.036,87;4.036.870,00
23;Indemnizaciones por razón del servicio;28,73;28,73;28.730,00
4;TRANSFERENCIAS CORRIENTES;2.225,00;2.225,00;2.225.000,00
45;A Comunidades Autónomas;1.400,00;1.400,00;1.400.000,00
48;A familias e instituciones sin fines de lucro;825;825;825.000,00
6;INVERSIONES REALES;3.741,85;3.741,85;3.741.850,00
62;Inversión nueva asociada al funcionamiento operativo;411;411;411.000,00
63;Inversión de reposición asociada al funcionamiento operativo;1.230,85;1.230,85;1.230.850,00
64;Gastos de inversiones de carácter inmaterial;2.100,00;2.100,00;2.100.000,00
;29.10;12.364,60;12.364,60;12.364.600,00
