;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 29 MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;
;Programa: 232F Derechos de los animales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;29.04;;Total;
1;GASTOS DE PERSONAL;567,81;;567,81;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;391,47;;391,47;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;115,30;;115,30;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.298,90;;2.298,90;
22; Material, suministros y otros;2.268,90;;2.268,90;
23; Indemnizaciones por razón del servicio;30,00;;30,00;
4;TRANSFERENCIAS CORRIENTES;4.615,00;;4.615,00;
46; A Entidades Locales;1.950,00;;1.950,00;
48; A familias e instituciones sin fines de lucro;2.665,00;;2.665,00;
;TOTAL;7.481,71;;7.481,71;
;;



