Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
29.03;41;A Organismos Autónomos;4.253,13;4.253.130,00
29.03;419;Al Real Patronato sobre Discapacidad para el cumplimiento de sus fines;4.253,13;4.253.130,00
29.03;42;A la Seguridad Social;3.662.300,20;3.662.300.200,00
29.03;424;Al IMSERSO, para el cumplimiento de sus fines;145.869,95;145.869.950,00
29.03;425;Al IMSERSO SAAD, para cuotas sociales de cuidadores no profesionales;184.970,36;184.970.360,00
29.03;427;Al IMSERSO para mínimo garantizado en dependencia;2.446.147,98;2.446.147.980,00
29.03;42700;(Desglose del 427) Al IMSERSO para mínimo garantizado en dependencia;2.446.147,98;2.446.147.980,00
29.03;428;Al IMSERSO, nivel convenido en dependencia (SAAD);783.197,42;783.197.420,00
29.03;429;Al IMSERSO para otros gastos en dependencia;102.114,49;102.114.490,00
;;Total Transferencias Corrientes – Secretaría de Estado de Derechos Sociales;3.666.553,33;3.666.553.330,00
29.03;71;A Organismos Autónomos;257,5;257.500,00
29.03;719;Al Real Patronato sobre Discapacidad;257,5;257.500,00
29.03;72;A la Seguridad Social;11.125,00;11.125.000,00
29.03;720;Al IMSERSO, para el cumplimiento de sus fines;5.256,00;5.256.000,00
29.03;729;Al IMSERSO para otros gastos en dependencia;5.869,00;5.869.000,00
;;Total Transferencias de Capital – Secretaría de Estado de Derechos Sociales;11.382,50;11.382.500,00
;;Total Secretaría de Estado de Derechos Sociales;3.677.935,83;3.677.935.830,00
29.08;41;A Organismos Autónomos;11.711,67;11.711.670,00
29.08;411;A la Agencia Española de Seguridad Alimentaria y Nutrición;11.711,67;11.711.670,00
;;Total Transferencias Corrientes – Secretaría General de Consumo y Juego;11.711,67;11.711.670,00
29.08;71;A Organismos Autónomos;2.341,45;2.341.450,00
29.08;711;A la Agencia Española de Seguridad Alimentaria y Nutrición;2.341,45;2.341.450,00
;;Total Transferencias de Capital – Secretaría General de Consumo y Juego;2.341,45;2.341.450,00
;;Total Secretaría General de Consumo y Juego;14.053,12;14.053.120,00
;;TOTAL PROGRAMA 000X – Transferencias y Libramientos Internos;3.691.988,95;3.691.988.950,00
