Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.143.213,75;2.143.213.750,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;883.890,10;883.890.100,00
3;GASTOS FINANCIEROS;3.667,33;3.667.330,00
4;TRANSFERENCIAS CORRIENTES;724.442,97;724.442.970,00
—;TOTAL OPERACIONES CORRIENTES;3.755.214,15;3.755.214.150,00
6;INVERSIONES REALES;717.756,25;717.756.250,00
7;TRANSFERENCIAS DE CAPITAL;4.985.351,89;4.985.351.890,00
—;TOTAL OPERACIONES DE CAPITAL;5.703.108,14;5.703.108.140,00
—;TOTAL OPERACIONES NO FINANCIERAS;9.458.322,29;9.458.322.290,00
8;ACTIVOS FINANCIEROS;2.189,45;2.189.450,00
—;TOTAL Capítulos 1–8;9.460.511,74;9.460.511.740,00
9;PASIVOS FINANCIEROS;1.177,64;1.177.640,00
—;TOTAL Capítulo 9;1.177,64;1.177.640,00
—;TOTAL PRESUPUESTO;9.461.689,38;9.461.689.380,00
4;TRANSFERENCIAS CORRIENTES;–26.640,21;–26.640.210,00
7;TRANSFERENCIAS DE CAPITAL;–88.686,40;–88.686.400,00
—;TOTAL Capítulos 1–8;–115.326,61;–115.326.610,00
9;PASIVOS FINANCIEROS;–1.177,64;–1.177.640,00
—;TOTAL Capítulo 9;–1.177,64;–1.177.640,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–116.504,25;–116.504.250,00
;TOTAL CONSOLIDADO;9.345.185,13;9.345.185.130,00
