;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen económico por programas del presupuesto de gastos;
;;
;Sección: 16 MINISTERIO DEL INTERIOR;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 1 a 8;Cap. 9;;;Total;
131M; Dirección y Servicios Generales de Seguridad y Protección Civil;400.993,39;18.880,76;2,37;18.102,70;4.482,38;;121,95;442.583,55;;;;442.583,55;
131N; Formación de Fuerzas y Cuerpos de Seguridad del Estado;139.170,25;36.036,14;;3.420,75;250,00;31,53;;178.908,67;;;;178.908,67;
131O; Fuerzas y Cuerpos en reserva;304.720,15;;;;;;;304.720,15;;;;304.720,15;
131P; Derecho de asilo y apátridas;9.830,33;5.981,30;;290,85;100,00;;;16.202,48;;;;16.202,48;
132A; Seguridad ciudadana;6.110.212,58;976.728,63;367,96;50.536,09;274.575,92;4.425,00;157,12;7.417.003,30;4,87;;;7.417.008,17;
132B; Seguridad vial;530.803,08;196.404,61;52,89;671,90;115.161,31;;598,31;843.692,10;;;;843.692,10;
132C; Actuaciones policiales en materia de droga;104.754,55;2.084,07;;;1.630,27;;;108.468,89;;;;108.468,89;
133A; Centros e Instituciones Penitenciarias;981.670,66;314.858,49;15,62;17.303,96;12.213,67;100,20;95,19;1.326.257,79;;;;1.326.257,79;
134M; Protección Civil;6.854,35;4.628,02;;775,90;1.294,36;3.197,08;;16.749,71;;;;16.749,71;
924M; Elecciones y Partidos Políticos;1.229,25;347.115,00;;111.473,73;1.750,00;;;461.567,98;;;;461.567,98;
;TOTAL CONSOLIDADO;8.590.238,59;1.902.717,02;438,84;202.575,88;411.457,91;7.753,81;972,57;11.116.154,62;4,87;;;11.116.159,49;
000X; Transferencias y libramientos internos;;;;142.051,22;;250,00;;142.301,22;;;;142.301,22;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;;;;142.051,22;;250,00;;142.301,22;;;;142.301,22;
;TOTAL;8.590.238,59;1.902.717,02;438,84;344.627,10;411.457,91;8.003,81;972,57;11.258.455,84;4,87;;;11.258.460,71;
;;



