;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 8;
;;
;Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;R.ENTIDADES;Total;
14SB; C19.I02 Transformación Digital de la Educación. Política Exterior;324,11;;;324,11;
144B; Cooperación, promoción y difusión educativa en el exterior;11.243,25;;;11.243,25;
24TA; C20.I01 Reskilling y upskilling de la población activa ligado a cualificaciones profesionales. Fomento del Empleo;73.500,00;;;73.500,00;
241B; Formación Profesional para el Empleo;1.178.386,26;;;1.178.386,26;
32SA; C19.I01 Competencias digitales transversales. Educación;42.000,00;;;42.000,00;
32SB; C19.I02 Transformación Digital de la Educación. Educación;59.804,01;;;59.804,01;
32TA; C20.I01 Reskilling y upskilling de la población activa ligado a cualificaciones profesionales. Educación;438.800,42;;;438.800,42;
32TB; C20.I02 Transformación Digital de la Formación Profesional;143.059,87;;;143.059,87;
32TC; C20.I03 Innovación e internacionalización de la formación profesional;193.203,23;;;193.203,23;
32TR; C20.R01 Plan de modernización de la Formación Profesional;400,00;;;400,00;
32UA; C21.I01 Creación de plazas del Primer Ciclo de Educación Infantil de titularidad pública (prioritariamente de 1 y 2 años): Reforma/rehabilitación y equipamiento para nuevas unidades. nueva construcción y equipamiento. y, gastos de personal y otros gastos.;136.210,00;;;136.210,00;
32UB; C21.I02 Programa de Orientación, Avance y Enriquecimiento Educativo en centros de especial complejidad educativa (Programa #PROA+).;120.626,50;;;120.626,50;
32UC; C21.I03 Creación de Unidades de Acompañamiento y Orientación Personal y Familiar del alumnado educativamente vulnerable, en los servicios educativos o psicopedagógicos situados en zonas y distritos escolares.;55.934,92;;;55.934,92;
32US; C21.R02 Diseño y aplicación de nuevo modelo curricular por competencias clave, priorizando aprendizajes fundamentales, y regulación de una ordenación académica inclusiva;400,00;;;400,00;
321M; Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;84.675,71;;;84.675,71;
321N; Formación permanente del profesorado de Educación;1.847,44;;;1.847,44;
322A; Educación Infantil y Primaria;194.695,38;;;194.695,38;
322B; Educación Secundaria, Formación Profesional y Escuelas Oficiales de Idiomas;583.748,50;;;583.748,50;
322E; Enseñanzas artísticas;4.757,97;;;4.757,97;
322F; Educación en el exterior;110.156,67;;;110.156,67;
322G; Educación compensatoria;4.144,07;;;4.144,07;
322L; Inversiones en centros educativos y otras actividades educativas;396.706,44;;;396.706,44;
323M; Becas y ayudas a estudiantes;2.549.784,10;;;2.549.784,10;
33ZA; C26.I01 Plan de Digitalización del Sector Deporte;;55.263,09;2.128,84;57.391,93;
33ZB; C26.I02 Plan de Transición Ecológica de Instalaciones Deportivas;;68.998,19;;68.998,19;
33ZC; C26.I03 Plan Social del Sector Deporte;;16.000,00;;16.000,00;
336A; Fomento y apoyo de las actividades deportivas;;244.070,82;4.515,05;248.585,87;
;TOTAL CONSOLIDADO;6.384.408,85;384.332,10;6.643,89;6.775.384,84;
000X; Transferencias y libramientos internos;346.404,45;;;346.404,45;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;346.404,45;;;346.404,45;
;TOTAL;6.730.813,30;384.332,10;6.643,89;7.121.789,29;
;;



