;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 15 MINISTERIO DE HACIENDA;
;Organismo: 104 COMISIONADO PARA EL MERCADO DE TABACOS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;COMISIONADO PARA EL MERCADO DE TABACOS;;;
v;492N;;Regulación y vigilancia de la competencia en el Mercado de Tabacos;;;
v;;1;GASTOS DE PERSONAL;;;
;;12;Funcionarios;;2.488,38;
;;120;Retribuciones básicas;;1.203,08;
;;12000;  Sueldos del grupo A1 y grupo A;193,24;;
;;12001;  Sueldos del grupo A2 y grupo B;282,76;;
;;12002;  Sueldos del grupo C1 y grupo C;193,01;;
;;12003;  Sueldos del grupo C2 y grupo D;88,35;;
;;12005;  Trienios;209,10;;
;;12006;  Pagas extraordinarias;236,62;;
;;121;Retribuciones complementarias;;1.285,30;
;;12100;  Complemento de destino;533,49;;
;;12101;  Complemento específico;703,00;;
;;12103;  Otros complementos;48,81;;
;;13;Laborales;;45,30;
;;130;Laboral fijo;;45,30;
;;13000;  Retribuciones básicas;41,15;;
;;13001;  Otras remuneraciones;4,15;;
v;;15;Incentivos al rendimiento;;243,04;
v;;150;Productividad;;220,18;
v;;151;Gratificaciones;;22,86;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;417,27;
;;160;Cuotas sociales;;237,50;
v;;16000;  Seguridad Social;237,50;;
;;162;Gastos sociales del personal;;179,77;
v;;16200;  Formación y perfeccionamiento del personal;15,60;;
v;;16201;  Economatos y comedores;90,00;;
v;;16204;  Acción social;17,30;;
;;16205;  Seguros;6,05;;
;;16209;  Otros;50,82;;
;;;TOTAL GASTOS DE PERSONAL;;3.193,99;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;21;Reparaciones, mantenimiento y conservación;;719,90;
;;212;Edificios y otras construcciones;;185,00;
;;213;Maquinaria, instalaciones y utillaje;;25,90;
;;215;Mobiliario y enseres;;9,00;
;;216;Equipos para procesos de la información;;500,00;
;;22;Material, suministros y otros;;3.532,30;
;;220;Material de oficina;;71,40;
;;22000;  Ordinario no inventariable;46,00;;
;;22001;  Prensa, revistas, libros y otras publicaciones;10,40;;
;;22002;  Material informático no inventariable;15,00;;
;;221;Suministros;;226,30;
;;22100;  Energía eléctrica;195,00;;
;;22101;  Agua;5,00;;
;;22102;  Gas;19,50;;
;;22104;  Vestuario;0,50;;
;;22106;  Productos farmacéuticos y material sanitario;2,30;;
;;22112;  Suministros de material electrónico, eléctrico y de comunicaciones;1,00;;
;;22199;  Otros suministros;3,00;;
;;222;Comunicaciones;;40,00;
;;22200;  Servicios de telecomunicaciones;30,00;;
;;22201;  Postales y mensajería;10,00;;
;;224;Primas de seguros;;5,00;
;;225;Tributos;;105,06;
v;;22502;  Locales;105,06;;
;;226;Gastos diversos;;758,54;
v;;22601;  Atenciones protocolarias y representativas;2,34;;
;;22602;  Publicidad y propaganda;5,00;;
;;22603;  Jurídicos, contenciosos;300,00;;
;;22606;  Reuniones, conferencias y cursos;21,20;;
;;22699;  Otros;430,00;;
;;227;Trabajos realizados por otras empresas y profesionales;;2.326,00;
;;22704;  Custodia, depósito y almacenaje;1.321,00;;
;;22706;  Estudios y trabajos técnicos;980,00;;
;;22799;  Otros;25,00;;
;;23;Indemnizaciones por razón del servicio;;185,00;
;;230;Dietas;;20,00;
;;231;Locomoción;;25,00;
;;233;Otras indemnizaciones;;140,00;
;;24;Gastos de publicaciones;;6,00;
;;240;Gastos de edición y distribución;;6,00;
;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;4.443,20;
 ; ;;;;;
v;;3;GASTOS FINANCIEROS;;;
v;;35;Intereses de demora y otros gastos financieros;;90,15;
v;;352;Intereses de demora;;90,15;
;;;TOTAL GASTOS FINANCIEROS;;90,15;
 ; ;;;;;
v;;6;INVERSIONES REALES;;;
;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;200,00;
;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;200,00;
;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;136,57;
;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;136,57;
;;64;Gastos de inversiones de carácter inmaterial;;654,00;
;;640;Gastos en inversiones de carácter inmaterial;;654,00;
;;;TOTAL INVERSIONES REALES;;990,57;
 ; ;;;;;
;;;TOTAL Regulación y vigilancia de la competencia en el Mercado de Tabacos;;8.717,91;
 ; ;;;;;
 ; ;;;;;
v;000X;;Transferencias y libramientos internos;;;
v;;4;TRANSFERENCIAS CORRIENTES;;;
v;;40;A la Administración del Estado;;21.453,66;
v;;400;A la Administración del Estado;;20.463,54;
v;;402;Al Estado, para compensar gastos de gestión centralizada;;990,12;
;;;TOTAL TRANSFERENCIAS CORRIENTES;;21.453,66;
 ; ;;;;;
;;;TOTAL Transferencias y libramientos internos;;21.453,66;
 ; ;;;;;
 ; ;;;;;
;;;TOTAL COMISIONADO PARA EL MERCADO DE TABACOS;;30.171,57;
;;



