Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;451N;10;Altos cargos;533,52;533.520
1;451N;100;Retribuciones básicas y otras remuneraciones;533,52;533.520
1;451N;10000;Retribuciones básicas;192,14;192.140
1;451N;10001;Retribuciones complementarias;341,38;341.380
1;451N;11;Personal eventual;626,4;626.400
1;451N;110;Retribuciones básicas y otras remuneraciones;626,4;626.400
1;451N;11000;Retribuciones básicas;235,18;235.180
1;451N;11001;Retribuciones complementarias;391,22;391.220
1;451N;12;Funcionarios;37.514,75;37.514.750
1;451N;120;Retribuciones básicas;12.644,63;12.644.630
1;451N;12000;Sueldos del grupo A1 y grupo A;2.964,08;2.964.080
1;451N;12001;Sueldos del grupo A2 y grupo B;2.334,61;2.334.610
1;451N;12002;Sueldos del grupo C1 y grupo C;1.682,65;1.682.650
1;451N;12003;Sueldos del grupo C2 y grupo D;1.475,35;1.475.350,00
1;451N;12004;Sueldos personal de agrupaciones profesionales y grupo E;14,7;14.700,00
1;451N;12005;Trienios;2.203,52;2.203.520,00
1;451N;12006;Pagas extraordinarias;1.969,72;1.969.720,00
1;451N;121;Retribuciones complementarias;23.835,72;23.835.720
1;451N;12100;Complemento de destino;5.757,68;5.757.680,00
1;451N;12101;Complemento específico;7.843,07;7.843.070,00
1;451N;12102;Indemnización por residencia;16,53;16.530
1;451N;12103;Otros complementos;1,53;1.530,00
1;451N;12181;Necesidades adicionales;10.216,91;10.216.910,00
1;451N;124;Retribuciones de funcionarios en prácticas;1.034,40;1.034.400
1;451N;12400;Sueldos del grupo A1 y grupo A;574,54;574.540
1;451N;12401;Sueldos del grupo A2 y grupo B;216,55;216.550,00
1;451N;12402;Sueldos del grupo C1 y grupo C;95,64;95.640
1;451N;12405;Trienios;10,36;10.360
1;451N;12406;Pagas extraordinarias;97,25;97.250
1;451N;12407;Retribuciones complementarias;40,06;40.060
1;451N;13;Laborales;5.698,66;5.698.660
1;451N;130;Laboral fijo;5.645,39;5.645.390
1;451N;13000;Retribuciones básicas;5.160,63;5.160.630
1;451N;13001;Otras remuneraciones;484,76;484.760
1;451N;131;Laboral eventual;53,27;53.270
