Capítulo Económico;Explicación;Importe (miles €);Importe (€)
1;GASTOS DE PERSONAL;9.421,25;9.421.250,00 €
10;Altos cargos;61,04;61.040,00 €
12;Funcionarios;4.594,93;4.594.930,00 €
13;Laborales;2.350,61;2.350.610,00 €
15;Incentivos al rendimiento;267,51;267.510,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;2.147,16;2.147.160,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.519,20;8.519.200,00 €
20;Arrendamientos y cánones;18;18.000,00 €
21;Reparaciones, mantenimiento y conservación;566,82;566.820,00 €
22;Material, suministros y otros;7.716;7.715.820,00 €
23;Indemnizaciones por razón del servicio;121,78;121.780,00 €
24;Gastos de publicaciones;96,78;96.780,00 €
3;GASTOS FINANCIEROS;26,00;26.000,00 €
35;Intereses de demora y otros gastos financieros;26,00;26.000,00 €
4;TRANSFERENCIAS CORRIENTES;36.032,97;36.032.970,00 €
44;A entidades del sector público estatal;40,00;40.000,00 €
45;A Comunidades Autónomas;1.398,23;1.398.230,00 €
46;A Entidades Locales;2.368,34;2.368.340,00 €
47;A empresas privadas;2.072,52;2.072.520,00 €
48;A familias e instituciones sin fines de lucro;29.700,43;29.700.430,00 €
49;Al exterior;453,45;453.450,00 €
6;INVERSIONES REALES;197,22;197.220,00 €
63;Inversión de reposición operativa;197,22;197.220,00 €
7;TRANSFERENCIAS DE CAPITAL;50;50.000,00 €
78;A familias e instituciones sin fines de lucro;50,00;50.000,00 €
8;ACTIVOS FINANCIEROS;29,95;29.950,00 €
83;Préstamos fuera del sector público;29,95;29.950,00 €
;TOTAL GENERAL PROGRAMA 232A;54.276,59;54.276.590,00 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
