;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 31 MINISTERIO DE JUVENTUD E INFANCIA;
;Programa: 232N Dirección y Servicios Generales de Juventud e Infancia;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;31.01;31.02;Total;
1;GASTOS DE PERSONAL;8.040,49;953,01;8.993,50;
10; Altos cargos;208,56;61,04;269,60;
11; Personal eventual;518,37;;518,37;
12; Funcionarios;3.741,11;679,97;4.421,08;
15; Incentivos al rendimiento;2.601,16;;2.601,16;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;971,29;212,00;1.183,29;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;887,68;34,84;922,52;
20; Arrendamientos y cánones;773,00;;773,00;
22; Material, suministros y otros;114,68;12,34;127,02;
23; Indemnizaciones por razón del servicio;;22,50;22,50;
6;INVERSIONES REALES;5,00;;5,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;5,00;;5,00;
;TOTAL;8.933,17;987,85;9.921,02;
;;



