Servicio;Programa;Económica;Explicación;Total (miles €);Total (€)
1;923Q;10;Altos cargos;416,91;416.910,00
1;923Q;11;Personal eventual;718,75;718.750,00
1;923Q;12;Funcionarios;20.752,61;20.752.610,00
1;923Q;13;Laborales;1.935,25;1.935.250,00
1;923Q;15;Incentivos al rendimiento;3.251,50;3.251.500,00
1;923Q;16;Cuotas, prestaciones y gastos sociales;3.047,40;3.047.400,00
—;—;—;TOTAL GASTOS DE PERSONAL;30.122,42;30.122.420,00
1;923Q;21;Reparaciones, mantenimiento y conservación;1.970,76;1.970.760,00
1;923Q;22;Material, suministros y otros;14.771,15;14.771.150,00
1;923Q;23;Indemnizaciones por razón del servicio;520;520.000,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;17.261,91;17.261.910,00
1;923Q;35;Intereses de demora y otros gastos financieros;15;15.000,00
—;—;—;TOTAL GASTOS FINANCIEROS;15;15.000,00
1;923Q;62;Inversión nueva funcionamiento operativo;318;318.000,00
1;923Q;63;Reposición funcionamiento operativo;2.063,72;2.063.720,00
1;923Q;64;Inversiones de carácter inmaterial;2.685,92;2.685.920,00
—;—;—;TOTAL INVERSIONES REALES;5.067,64;5.067.640,00
1;923Q;83;Préstamos fuera del Sector Público;191,32;191.320,00
—;—;—;TOTAL ACTIVOS FINANCIEROS;191,32;191.320,00
1;923Q;;Dirección y Servicios Generales de Economía, Comercio y Empresa;52.658,29;52.658.290,00
2;923Q;10;Altos cargos;61,04;61.040,00
2;923Q;12;Funcionarios;2.020,74;2.020.740,00
2;923Q;16;Cuotas, prestaciones y gastos sociales;240,63;240.630,00
—;—;—;TOTAL GASTOS DE PERSONAL;2.322,41;2.322.410,00
2;923Q;22;Material, suministros y otros;31,65;31.650,00
2;923Q;23;Indemnizaciones por razón del servicio;16,15;16.150,00
2;923Q;24;Gastos de publicaciones;86,78;86.780,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;134,58;134.580,00
2;923Q;;Dirección y Servicios Generales de Economía, Comercio y Empresa;2.456,99;2.456.990,00
3;923Q;10;Altos cargos;80,3;80.300,00
3;923Q;11;Personal eventual;215,15;215.150,00
3;923Q;12;Funcionarios;661,55;661.550,00
3;923Q;15;Incentivos al rendimiento;3.521,29;3.521.290,00
3;923Q;16;Cuotas, prestaciones y gastos sociales;104,74;104.740,00
—;—;—;TOTAL GASTOS DE PERSONAL;4.583,03;4.583.030,00
3;923Q;21;Reparaciones, mantenimiento y conservación;7,75;7.750,00
3;923Q;22;Material, suministros y otros;45,81;45.810,00
3;923Q;23;Indemnizaciones por razón del servicio;45,77;45.770,00
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;99,33;99.330,00
3;923Q;35;Intereses de demora;2,65;2.650,00
