;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 32 MINISTERIO DE INCLUSIÓN, SEGURIDAD SOCIAL Y MIGRACIONES;
;Programa: 231H Acciones en favor de los inmigrantes;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;32.03;;Total;
1;GASTOS DE PERSONAL;18.211,64;;18.211,64;
10; Altos cargos;122,06;;122,06;
12; Funcionarios;7.206,90;;7.206,90;
13; Laborales;7.935,75;;7.935,75;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.946,93;;2.946,93;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;689.661,21;;689.661,21;
20; Arrendamientos y cánones;75,18;;75,18;
21; Reparaciones, mantenimiento y conservación;1.447,83;;1.447,83;
22; Material, suministros y otros;687.712,86;;687.712,86;
23; Indemnizaciones por razón del servicio;425,34;;425,34;
3;GASTOS FINANCIEROS;200,00;;200,00;
35; Intereses de demora y otros gastos financieros;200,00;;200,00;
4;TRANSFERENCIAS CORRIENTES;36.040,00;;36.040,00;
45; A Comunidades Autónomas;15,00;;15,00;
48; A familias e instituciones sin fines de lucro;32.025,00;;32.025,00;
49; Al exterior;4.000,00;;4.000,00;
6;INVERSIONES REALES;1.000,00;;1.000,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;250,00;;250,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;750,00;;750,00;
7;TRANSFERENCIAS DE CAPITAL;300,00;;300,00;
78; A familias e instituciones sin fines de lucro;300,00;;300,00;
;TOTAL;745.412,85;;745.412,85;
;;



