;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulo 9;
;;
;Sección: 27 MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;
;Capítulo: 9 PASIVOS FINANCIEROS;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;Total;
923O; Gestión de la Deuda y de la Tesorería del Estado;1,00;1,00;
;TOTAL CONSOLIDADO;1,00;1,00;
;TOTAL;1,00;1,00;
;;



