Económica;Explicación;29.01;29.02;29.03;29.04;29.05;29.06;29.07;29.08;29.09;29.10;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;18.427,01;2.227,42;1.711,10;567,81;3.994,28;1.930,51;1.790,53;386,09;8.405,13;2.332,15;41.772,03;41.772.030
10;Altos cargos;208,56;61,04;80,3;61,04;61,04;61,04;141,34;71,16;61,04;61,04;867,60;867.600
11;Personal eventual;517,75;—;253,2;—;—;—;—;—;—;—;770,95;770.950
12;Funcionarios;10.486,87;1.803,82;985,04;391,47;2.992,53;1.529,63;1.033,97;244,9;5.643,09;1.767,90;26.879,22;26.879.220
13;Laborales;2.177,35;—;51,32;—;256,72;—;236,39;—;818,56;283,21;3.823,55;3.823.550
15;Incentivos al rendimiento;3.041,11;—;—;—;—;—;—;—;—;—;3.041,11;3.041.110
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;1.995,37;362,56;341,24;115,3;683,99;339,84;378,83;70,03;1.882,44;220,00;6.389,60;6.389.600,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.128,87;279,95;261,33;2.298,90;2.215,34;418,5;3.454,44;934,68;2.584,19;4.065,60;25.641,80;25.641.800
20;Arrendamientos y cánones;1.042,30;—;—;—;—;—;—;—;2,00;—;1.044,30;1.044.300
21;Reparaciones, mantenimiento y conservación;502,86;—;—;—;—;—;—;—;352,91;—;855,77;855.770,00
22;Material, suministros y otros;7.104,56;123,4;186,8;2.268,90;2.137,04;396,37;3.234,44;874,68;2.040,60;4.036,87;22.403,66;22.403.660,00
23;Indemnizaciones por razón del servicio;479,15;100,46;74,53;30;78,3;22,13;220;60;164,58;28,73;1.257,88;1.257.880,00
24;Gastos de publicaciones;—;56,09;—;—;—;—;—;—;24,10;—;80,19;80.190,00
3;GASTOS FINANCIEROS;—;—;—;—;—;—;—;—;—;5,00;5,00;5.000,00
35;Intereses de demora y otros gastos financieros;—;—;—;—;—;—;—;—;—;5,00;5,00;5.000,00
4;TRANSFERENCIAS CORRIENTES;—;11,3;—;4.615,00;430.022,37;5.420,00;19.400,00;—;5.585,46;2.225,00;467.279,13;467.279.130
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones…;—;—;—;—;105,00;—;—;—;—;—;105;105.000,00
45;A Comunidades Autónomas;—;—;—;—;320.440,07;—;—;—;1.230,18;1.400,00;323.070,25;323.070.250,00
46;A Entidades Locales;—;—;—;1.950,00;26;—;6.600,00;—;1.200,48;—;9.776,48;9.776.480
48;A familias e instituciones sin fines de lucro;—;—;—;2.665,00;108.367,37;5.420,00;10.800,00;—;3.154,80;825;132.316,10;132.316.100
49;Al exterior;—;11,3;—;—;—;—;2.000,00;—;—;—;2.011,30;2.011.300
6;INVERSIONES REALES;2.032,00;—;—;—;—;—;—;—;980,00;3.741,85;6.753,85;6.753.850,00
62;Inversión nueva asociada al funcionamiento operativo;559,96;—;—;—;—;—;—;—;650;411;1.620,96;1.620.960
63;Inversión de reposición asociada al funcionamiento operativo de los servicios;1.072,04;—;—;—;—;—;—;—;320,00;1.230,85;2.622,89;2.622.890,00
64;Gastos de inversiones de carácter inmaterial;400;—;—;—;—;—;—;—;10,00;2.100,00;2.510,00;2.510.000,00
7;TRANSFERENCIAS DE CAPITAL;—;—;1.093,00;—;7.000,00;—;—;—;—;—;8.093,00;8.093.000,00
76;A Entidades Locales;—;—;1.093,00;—;7.000,00;—;—;—;—;—;8.093,00;8.093.000,00
8;ACTIVOS FINANCIEROS;92,88;—;—;—;—;—;—;—;—;—;92,88;92.880,00
83;Concesión de préstamos fuera del Sector Público;92,88;—;—;—;—;—;—;—;—;—;92,88;92.880,00
—;TOTAL CONSOLIDADO;29.680,76;2.518,67;3.065,43;7.481,71;443.231,99;7.769,01;24.644,97;1.320,77;17.559,78;12.364,60;549.637,69;549.637.690,00
4;TRANSFERENCIAS CORRIENTES;—;—;3.666.553,33;—;—;—;—;11.711,67;—;—;3.678.265,00;3.678.265.000,00
41;A Organismos Autónomos;—;—;4.253,13;—;—;—;—;11.711,67;—;—;15.964,80;15.964.800
42;A la Seguridad Social;—;—;3.662.300,20;—;—;—;—;—;—;—;3.662.300,20;3.662.300.200
7;TRANSFERENCIAS DE CAPITAL;—;—;11.382,50;—;—;—;—;2.341,45;—;—;13.723,95;13.723.950,00
71;A Organismos Autónomos;—;—;257,50;—;—;—;—;2.341,45;—;—;2.598,95;2.598.950,00
72;A la Seguridad Social;—;—;11.125,00;—;—;—;—;—;—;—;11.125,00;11.125.000,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;—;—;3.677.935,83;—;—;—;—;14.053,12;—;—;3.691.988,95;3.691.988.950,00
—;TOTAL MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;29.680,76;2.518,67;3.681.001,26;7.481,71;443.231,99;7.769,01;24.644,97;15.373,89;17.559,78;12.364,60;4.241.626,64;4.241.626.640,00
