;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO Y SUBSECRETARÍA;;;
v;;121M;;Administración y Servicios Generales de Defensa;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;1.141,90;
;;;100;Retribuciones básicas y otras remuneraciones;;1.141,90;
;;;10000; Retribuciones básicas;382,93;;
;;;10001; Retribuciones complementarias;758,97;;
v;;;11;Personal eventual;;1.101,77;
;;;110;Retribuciones básicas y otras remuneraciones;;1.101,77;
;;;11000; Retribuciones básicas;364,67;;
;;;11001; Retribuciones complementarias;737,10;;
v;;;12;Funcionarios;;1.495.170,54;
;;;120;Retribuciones básicas;;605.166,73;
;;;12000; Sueldos del grupo A1 y grupo A;88.559,75;;
;;;12001; Sueldos del grupo A2 y grupo B;110.073,20;;
;;;12002; Sueldos del grupo C1 y grupo C;4.825,00;;
;;;12003; Sueldos del grupo C2 y grupo D;5.044,10;;
;;;12005; Trienios;73.614,98;;
;;;12006; Pagas extraordinarias;50.372,75;;
;;;12010; Sueldos de tropa y marinería profesional permanente;37.036,72;;
;;;12011; Sueldos de tropa y marinería profesional no permanente;180.599,10;;
;;;12012; Pagas extraordinarias de tropa y marinería profesional;55.041,13;;
;;;121;Retribuciones complementarias;;800.610,71;
;;;12100; Complemento de destino;121.425,38;;
;;;12101; Complemento específico;177.058,76;;
;;;12102; Indemnización por residencia;3.785,07;;
;;;12103; Otros complementos;766,30;;
;;;12109; Complemento de destino de tropa y marinería profesional;112.694,78;;
;;;12110; Complemento específico de tropa y marinería profesional;133.453,69;;
;;;12111; Incentivos por años de servicio de tropa y marinería profesional;1.096,53;;
;;;12112; Indemnización reservistas voluntarios;4.428,20;;
;;;12181; Necesidades adicionales;245.902,00;;
;;;122;Retribuciones en especie;;8.914,46;
;;;12201; Vestuario;4.414,20;;
;;;12202; Bonificaciones;4.500,26;;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;80.478,64;
;;;12300; Indemnización por destino en el extranjero;79.000,00;;
;;;12301; Indemnización por educación;1.327,66;;
;;;12302; Indemnización por navegaciones en el extranjero;150,98;;
v;;;13;Laborales;;71.477,70;
;;;130;Laboral fijo;;66.647,43;
;;;13000; Retribuciones básicas;59.479,24;;
;;;13001; Otras remuneraciones;7.168,19;;
;;;131;Laboral eventual;;4.830,27;
v;;;15;Incentivos al rendimiento;;180.168,06;
v;;;150;Productividad;;7.248,20;
v;;;151;Gratificaciones;;2.996,74;
v;;;152;Productividad del Personal Estatutario;;2.474,83;
v;;;153;Complemento de dedicación especial;;167.448,29;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;69.735,43;
;;;160;Cuotas sociales;;46.555,83;
v;;;16000; Seguridad Social;46.555,83;;
;;;162;Gastos sociales del personal;;23.179,60;
v;;;16200; Formación y perfeccionamiento del personal;248,81;;
v;;;16201; Economatos y comedores;3.862,45;;
;;;16202; Transporte de personal;699,79;;
v;;;16204; Acción social;3.561,09;;
;;;16205; Seguros;7.903,77;;
;;;16209; Otros;6.903,69;;
;;;;TOTAL GASTOS DE PERSONAL;;1.818.795,40;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;560,20;
v;;;202;Arrendamientos de edificios y otras construcciones;;80,70;
;;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;27,00;
;;;205;Arrendamientos de mobiliario y enseres;;385,50;
;;;208;Arrendamientos de otro inmovilizado material;;6,00;
;;;209;Cánones;;61,00;
v;;;21;Reparaciones, mantenimiento y conservación;;1.474,20;
;;;210;Infraestructura y bienes naturales;;2,00;
;;;212;Edificios y otras construcciones;;205,00;
;;;213;Maquinaria, instalaciones y utillaje;;831,00;
;;;214;Elementos de transporte;;104,00;
;;;215;Mobiliario y enseres;;317,00;
;;;216;Equipos para procesos de la información;;15,20;
v;;;22;Material, suministros y otros;;34.828,87;
;;;220;Material de oficina;;849,40;
;;;22000; Ordinario no inventariable;245,50;;
;;;22001; Prensa, revistas, libros y otras publicaciones;591,90;;
;;;22002; Material informático no inventariable;12,00;;
;;;221;Suministros;;6.770,29;
;;;22100; Energía eléctrica;2.094,67;;
;;;22101; Agua;199,00;;
;;;22102; Gas;49,00;;
;;;22103; Combustible;377,70;;
;;;22104; Vestuario;894,00;;
;;;22105; Alimentación;469,55;;
;;;22106; Productos farmacéuticos y material sanitario;447,00;;
;;;22108; Suministros de material deportivo, didáctico y cultural;194,50;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;276,72;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;49,00;;
;;;22199; Otros suministros;1.719,15;;
;;;222;Comunicaciones;;22,50;
;;;22200; Servicios de telecomunicaciones;15,00;;
;;;22201; Postales y mensajería;7,50;;
;;;223;Transportes;;290,80;
;;;224;Primas de seguros;;6.300,00;
;;;225;Tributos;;74,50;
v;;;22502; Locales;74,50;;
;;;226;Gastos diversos;;6.991,90;
v;;;22601; Atenciones protocolarias y representativas;23,40;;
;;;22602; Publicidad y propaganda;2.328,37;;
;;;22606; Reuniones, conferencias y cursos;2.690,52;;
;;;22607; Oposiciones y pruebas selectivas;560,10;;
;;;22609; Actividades culturales y deportivas;131,00;;
v;;;22611; Gastos protocolarios y representativos derivados de actos institucionales;286,51;;
;;;22699; Otros;972,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;13.529,48;
;;;22700; Limpieza y aseo;4.287,74;;
;;;22701; Seguridad;4.041,15;;
;;;22706; Estudios y trabajos técnicos;2.556,83;;
;;;22799; Otros;2.643,76;;
v;;;23;Indemnizaciones por razón del servicio;;10.022,32;
;;;230;Dietas;;9.766,77;
;;;233;Otras indemnizaciones;;255,55;
v;;;24;Gastos de publicaciones;;350,00;
;;;240;Gastos de edición y distribución;;350,00;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;47.235,59;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;42,00;
v;;;441;Al Consorcio Castillo de San Carlos;;10,50;
v;;;442;Al Consorcio Castillo de San Fernando de Figueres;;10,50;
v;;;443;Al Consorcio Castillo de San Pedro;;10,50;
v;;;444;Al Consorcio del Museo Militar de Menorca y Patrimonio Histórico-Militar del Puerto de Mahón y Cala San Esteban;;10,50;
v;;;48;A familias e instituciones sin fines de lucro;;1.338,00;
v;;;485;A organismos específicos, servicios, asociaciones, instituciones, entidades de fomento y otros;;1.137,00;
;;;48500; A organismos e instituciones relacionados con las Fuerzas Armadas;400,00;;
v;;;48501; Al Instituto "Gutiérrez Mellado";152,00;;
v;;;48502; Al Instituto de Estudios Internacionales y Estratégicos;176,00;;
;;;48503; A personas físicas o jurídicas sin ánimo de lucro para la realización de actividades relacionadas con las FAS;309,00;;
;;;48505; Asociaciones Profesionales Militares;100,00;;
v;;;486;Pensiones a funcionarios, de carácter militar;;200,00;
v;;;489;Indemnizaciones derivadas de la aplicación del Real Decreto-ley 8/2004, de 5 de noviembre, sobre indemnizaciones a los participantes en operaciones internacionales de paz y seguridad;;1,00;
v;;;49;Al exterior;;24,16;
v;;;490;A organismos internacionales;;24,16;
;;;49000; Cuota a la Organización Internacional de Deporte Militar;18,50;;
;;;49015; Contribución a International Council of Museums (ICOM);0,70;;
;;;49016; Contribución a International Federation of Library Associations and Institutions (IFLA);0,60;;
;;;49017; Contribución a International Council on Archives (ICA);0,25;;
;;;49018; Contribución al comité Internacional de Medicina Militar (CIMM);4,11;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;1.404,16;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;587,99;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;587,99;
;;;65;Inversiones militares en infraestructura y otros bienes;;524,00;
;;;650;Inversiones militares en infraestructura y otros bienes;;524,00;
;;;66;Inversiones militares asociadas al funcionamiento operativo de los servicios;;508,70;
;;;660;Inversiones militares asociadas al funcionamiento operativo de los servicios;;508,70;
;;;;TOTAL INVERSIONES REALES;;1.620,69;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;2.833,58;
v;;;831;Préstamos a largo plazo;;2.833,58;
;;;83108; Familias e instituciones sin fines de lucro;2.833,58;;
