Económica;Explicación;Secc. 01;Secc. 02;Secc. 03;Secc. 04;Secc. 05;Secc. 06;Secc. 07;Secc. 08;Secc. 09;Secc. 10;Secc. 12;Secc. 13;Secc. 14;Secc. 15;Secc. 16;Secc. 17;Secc. 18;Secc. 19;Secc. 20;Secc. 21;Secc. 22;Secc. 23;Secc. 24;Secc. 25;Secc. 26;Secc. 27;Secc. 28;Secc. 29;Secc. 30;Secc. 31;Secc. 32;Secc. 33;Secc. 34;Secc. 35;Secc. 36;Secc. 37;Secc. 38;Total;Euros reales
1;GASTOS DE PERSONAL;;164.221,54;68.519,87;21.252,60;11.170,76;;;47.878,75;2.281.136,60;;373.133,97;1.879.924,35;5.375.480,68;420.994,05;8.056.741,20;177.838,44;481.699,78;58.517,10;45.859,40;73.539,79;271.678,15;105.799,54;88.734,88;8.762,69;59.170,03;157.534,44;58.731,69;41.772,03;14.532,81;11.289,93;60.225,00;71.150,13;;;;;;20.487.290,20;20.487.290.200 €
10; Altos cargos;;40.229,03;1.617,04;2.232,23;1.028,00;;;3.027,17;;;1.638,38;20.314,14;1.141,90;1.315,25;972,09;899,76;604,18;548,06;545,89;838,99;2.097,69;1.136,94;523,88;274,02;726,26;1.075,95;615,28;867,6;533,02;330,64;806,44;886,86;;;;;;86.826,69;86.826.690 €
11; Personal eventual;;17.302,49;1.631,94;1.218,48;472,99;;;3.568,76;;;1.847,18;22.096,60;1.101,77;845,97;935;626,4;764,04;1.051,58;1.064,58;519,82;6.909,31;1.288,13;533,77;194,97;782,57;1.144,04;685,56;770,95;771,3;771,57;1.038,28;1.308,27;;;;;;71.246,32;71.246.320 €
12; Funcionarios;;65.950,62;48.432,30;15.679,35;6.920,20;;;32.695,62;;;231.202,35;1.638.531,35;4.463.418,76;341.178,53;7.043.658,05;108.686,74;300.467,90;36.682,06;30.811,08;53.368,31;193.851,92;71.785,61;49.457,62;5.874,84;44.402,29;102.233,01;50.039,86;26.879,22;9.032,21;5.554,95;35.316,53;49.772,34;;;;;;15.061.883,62;15.061.883.620 €
13; Laborales;;12.661,27;6.718,60;935,23;637,15;;;1.458,02;;;95.794,29;27.982,67;246.495,06;10.083,75;96.070,24;34.074,23;110.980,65;10.476,24;3.410,35;3.422,93;22.136,05;10.241,33;22.583,69;175,36;1.912,30;29.050,87;1.627,35;3.823,55;587,98;482,19;10.724,95;3.946,49;;;;;;768.492,79;768.492.790 €
14; Otro personal;;325,5;;;;;;;;;;13.916,65;58.465,22;;;;;;;;;;;;;;;;;;;;;;;;;72.707,37;72.707.370 €
15; Incentivos al rendimiento;;1.090,67;4.842,29;234,38;1.387,73;;;1.071,30;;;5.713,70;21.976,66;180.168,06;43.058,36;499.604,87;13.282,39;4.762,38;3.381,84;4.734,48;7.398,21;15.759,35;7.784,26;4.165,08;1.206,00;5.356,62;8.644,98;1.930,48;3.041,11;1.713,83;2.601,16;3.857,08;8.066,98;;;;;;856.834,25;856.834.250 €
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;26.661,96;5.277,70;952,93;724,69;;;6.057,88;2.281.136,60;;36.938,07;135.106,28;424.689,91;24.512,19;415.500,95;20.268,92;54.376,96;6.377,32;5.293,02;7.991,53;30.923,83;13.563,27;11.470,84;1.037,50;5.989,99;15.385,59;3.833,16;6.389,60;1.894,47;1.549,42;8.481,72;7.169,19;;;;;;3.559.555,49;3.559.555.490 €
19; Gastos de personal. Mecanismo de Recuperación y Resiliencia;;;;;;;;;;;;;;;;;9.743,67;;;;;;;;;;;;;;;;;;;;;9.743,67;9.743.670 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;73.644,54;6.832,27;6.658,86;2.874,10;;;27.026,08;;317.051,70;130.148,34;227.742,60;1.026.498,54;102.005,11;1.703.000,98;68.711,17;82.213,06;30.932,50;16.164,94;20.861,92;48.998,14;24.581,51;52.700,40;1.872,55;64.426,05;78.100,51;28.211,23;25.641,80;17.212,68;3.208,14;710.792,52;36.038,41;;;;;;4.934.150,65;4.934.150.650 €
20; Arrendamientos y cánones;;1.262,78;1.922,76;31,88;25;;;188,7;;;28.507,53;14.669,49;24.633,38;27.462,32;50.124,23;898,37;173,45;3.332,06;406,77;1.570,00;5.449,97;1.205,67;623;;338,09;8.357,35;622,43;1.044,30;90;773;1.329,67;945;;;;;;175.987,20;175.987.200 €
21; Reparaciones, mantenimiento y conservación;;7.513,64;740,8;799;474,8;;;2.464,09;;;13.658,70;20.716,65;114.720,66;14.099,05;186.004,80;5.579,32;2.242,13;2.492,64;4.116,23;4.083,71;5.284,55;2.784,80;5.525,88;;2.478,36;4.641,54;511,53;855,77;357,25;;3.776,86;4.658,10;;;;;;410.580,86;410.580.860 €
22; Material, suministros y otros;;44.266,29;3.591,28;5.524,68;1.983,30;;;14.793,50;;317.051,70;73.604,56;181.455,29;795.739,59;56.664,18;1.323.974,41;58.483,82;60.560,75;23.476,22;8.174,24;12.462,38;36.547,65;18.680,82;44.005,50;1.622,55;57.865,18;57.606,61;25.199,00;22.403,66;15.932,89;2.389,42;703.798,15;27.816,49;;;;;;3.995.674,11;3.995.674.110 €
