;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por artículos y secciones del presupuesto de gastos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;Secc. 01;Secc. 02;Secc. 03;Secc. 04;Secc. 05;Secc. 06;Secc. 07;Secc. 08;Secc. 09;Secc. 10;Secc. 12;Secc. 13;Secc. 14;Secc. 15;Secc. 16;Secc. 17;Secc. 18;Secc. 19;Secc. 20;Secc. 21;Secc. 22;Secc. 23;Secc. 24;Secc. 25;Secc. 26;Secc. 27;Secc. 28;Secc. 29;Secc. 30;Secc. 31;Secc. 32;Secc. 33;Secc. 34;Secc. 35;Secc. 36;Secc. 37;Secc. 38;;Total;
1;GASTOS DE PERSONAL;;164.221,54;68.519,87;21.252,60;11.170,76;;;47.878,75;2.281.136,60;;373.133,97;1.879.924,35;5.375.480,68;420.994,05;8.056.741,20;177.838,44;481.699,78;58.517,10;45.859,40;73.539,79;271.678,15;105.799,54;88.734,88;8.762,69;59.170,03;157.534,44;58.731,69;41.772,03;14.532,81;11.289,93;60.225,00;71.150,13;;;;;;;20.487.290,20;
10; Altos cargos;;40.229,03;1.617,04;2.232,23;1.028,00;;;3.027,17;;;1.638,38;20.314,14;1.141,90;1.315,25;972,09;899,76;604,18;548,06;545,89;838,99;2.097,69;1.136,94;523,88;274,02;726,26;1.075,95;615,28;867,60;533,02;330,64;806,44;886,86;;;;;;;86.826,69;
11; Personal eventual;;17.302,49;1.631,94;1.218,48;472,99;;;3.568,76;;;1.847,18;22.096,60;1.101,77;845,97;935,00;626,40;764,04;1.051,58;1.064,58;519,82;6.909,31;1.288,13;533,77;194,97;782,57;1.144,04;685,56;770,95;771,30;771,57;1.038,28;1.308,27;;;;;;;71.246,32;
12; Funcionarios;;65.950,62;48.432,30;15.679,35;6.920,20;;;32.695,62;;;231.202,35;1.638.531,35;4.463.418,76;341.178,53;7.043.658,05;108.686,74;300.467,90;36.682,06;30.811,08;53.368,31;193.851,92;71.785,61;49.457,62;5.874,84;44.402,29;102.233,01;50.039,86;26.879,22;9.032,21;5.554,95;35.316,53;49.772,34;;;;;;;15.061.883,62;
13; Laborales;;12.661,27;6.718,60;935,23;637,15;;;1.458,02;;;95.794,29;27.982,67;246.495,06;10.083,75;96.070,24;34.074,23;110.980,65;10.476,24;3.410,35;3.422,93;22.136,05;10.241,33;22.583,69;175,36;1.912,30;29.050,87;1.627,35;3.823,55;587,98;482,19;10.724,95;3.946,49;;;;;;;768.492,79;
14; Otro personal;;325,50;;;;;;;;;;13.916,65;58.465,22;;;;;;;;;;;;;;;;;;;;;;;;;;72.707,37;
15; Incentivos al rendimiento;;1.090,67;4.842,29;234,38;1.387,73;;;1.071,30;;;5.713,70;21.976,66;180.168,06;43.058,36;499.604,87;13.282,39;4.762,38;3.381,84;4.734,48;7.398,21;15.759,35;7.784,26;4.165,08;1.206,00;5.356,62;8.644,98;1.930,48;3.041,11;1.713,83;2.601,16;3.857,08;8.066,98;;;;;;;856.834,25;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;26.661,96;5.277,70;952,93;724,69;;;6.057,88;2.281.136,60;;36.938,07;135.106,28;424.689,91;24.512,19;415.500,95;20.268,92;54.376,96;6.377,32;5.293,02;7.991,53;30.923,83;13.563,27;11.470,84;1.037,50;5.989,99;15.385,59;3.833,16;6.389,60;1.894,47;1.549,42;8.481,72;7.169,19;;;;;;;3.559.555,49;
19; Gastos de personal. Mecanismo de Recuperación y Resiliencia;;;;;;;;;;;;;;;;;9.743,67;;;;;;;;;;;;;;;;;;;;;;9.743,67;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;73.644,54;6.832,27;6.658,86;2.874,10;;;27.026,08;;317.051,70;130.148,34;227.742,60;1.026.498,54;102.005,11;1.703.000,98;68.711,17;82.213,06;30.932,50;16.164,94;20.861,92;48.998,14;24.581,51;52.700,40;1.872,55;64.426,05;78.100,51;28.211,23;25.641,80;17.212,68;3.208,14;710.792,52;36.038,41;;;;;;;4.934.150,65;
20; Arrendamientos y cánones;;1.262,78;1.922,76;31,88;25,00;;;188,70;;;28.507,53;14.669,49;24.633,38;27.462,32;50.124,23;898,37;173,45;3.332,06;406,77;1.570,00;5.449,97;1.205,67;623,00;;338,09;8.357,35;622,43;1.044,30;90,00;773,00;1.329,67;945,00;;;;;;;175.987,20;
21; Reparaciones, mantenimiento y conservación;;7.513,64;740,80;799,00;474,80;;;2.464,09;;;13.658,70;20.716,65;114.720,66;14.099,05;186.004,80;5.579,32;2.242,13;2.492,64;4.116,23;4.083,71;5.284,55;2.784,80;5.525,88;;2.478,36;4.641,54;511,53;855,77;357,25;;3.776,86;4.658,10;;;;;;;410.580,86;
22; Material, suministros y otros;;44.266,29;3.591,28;5.524,68;1.983,30;;;14.793,50;;317.051,70;73.604,56;181.455,29;795.739,59;56.664,18;1.323.974,41;58.483,82;60.560,75;23.476,22;8.174,24;12.462,38;36.547,65;18.680,82;44.005,50;1.622,55;57.865,18;57.606,61;25.199,00;22.403,66;15.932,89;2.389,42;703.798,15;27.816,49;;;;;;;3.995.674,11;
23; Indemnizaciones por razón del servicio;;19.710,03;561,22;232,40;330,00;;;9.432,79;;;14.307,55;10.424,17;90.554,91;3.094,33;127.741,71;3.487,49;10.601,11;1.451,13;1.215,48;2.425,83;1.662,87;1.758,22;2.390,14;250,00;3.551,88;5.673,84;1.675,27;1.257,88;682,54;45,72;1.657,84;1.180,83;;;;;;;317.357,18;
24; Gastos de publicaciones;;891,80;16,21;70,90;61,00;;;147,00;;;70,00;327,00;350,00;218,23;228,68;262,17;398,30;180,45;126,22;320,00;53,10;152,00;155,88;;192,54;86,78;203,00;80,19;150,00;;230,00;18,00;;;;;;;4.989,45;
25; Conciertos de asistencia sanitaria;;;;;;;;;;;;150,00;;;14.927,15;;;;;;;;;;;;;;;;;;;;;;;;15.077,15;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;;;;;;;;;;;;;500,00;467,00;;;8.237,32;;2.126,00;;;;;;;1.734,39;;;;;;1.419,99;;;;;;;14.484,70;
3;GASTOS FINANCIEROS;;398,20;;3,00;;31.275.104,09;;;;20,00;25,93;655,77;;4.040,67;385,95;3.529,81;328,54;43,66;111,00;39,35;2.763,20;15,17;40,50;1.630,00;;27.825,02;36,00;5,00;;;270,00;;12.500,00;;;;;;31.329.770,86;
30; De deuda pública en euros;;;;;;30.481.829,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.481.829,70;
31; De préstamos en euros;;;;;;734.711,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;734.711,39;
32; De deuda pública en moneda extranjera;;;;;;48.300,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.300,00;
33; De préstamos en moneda extranjera;;;;;;10.256,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.256,00;
34; De depósitos y fianzas;;10,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,20;
35; Intereses de demora y otros gastos financieros;;388,00;;3,00;;7,00;;;;20,00;25,93;655,77;;4.040,67;385,95;3.529,81;328,54;43,66;111,00;39,35;2.763,20;15,17;40,50;1.630,00;;27.825,02;36,00;5,00;;;270,00;;12.500,00;;;;;;54.663,57;
4;TRANSFERENCIAS CORRIENTES;8.431,15;23.579,73;8,50;1.323,54;232,96;;20.499.542,56;579,15;;;463.308,27;60.768,99;159.555,85;850.228,68;201.903,98;3.308.064,32;5.013.472,57;42.763,89;188.325,06;59.240,39;8.334,13;455.637,68;270.090,23;3.405,00;236.242,74;412.264,58;338.228,82;467.279,13;415.500,02;36.748,61;98.909,03;11.472,31;17.860.350,00;;;1.810.566,58;45.087.970,53;;98.394.328,98;
43; A otras entidades del Sector Público Administrativo Estatal con presupuesto limitativo;;37,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,50;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;;;;;;;;;11.358,87;2.437,00;13.392,38;498.869,38;18.318,09;1.798.801,69;6.354,97;1.246,80;130.941,31;801,50;100,00;48.971,29;19.616,85;2.000,00;772,06;16.416,77;137.988,04;105,00;;;140,00;5.852,84;;;;;;;2.714.484,84;
45; A Comunidades Autónomas;;;;;;;;;;;;1,00;20.003,41;;485,00;457.894,09;2.048.009,50;;;;3.300,00;345.693,00;4.595,05;;230.191,42;500,00;22.658,58;323.070,25;340.002,02;35.000,00;105,00;;;;;101.726,02;24.075.075,38;;28.008.309,72;
46; A Entidades Locales;;;;;;;;;;;;1.995,21;;;751,40;54.304,74;17.197,38;;3.080,00;;650,00;11.785,10;19.273,96;;3,00;100,00;5.153,85;9.776,48;40.000,00;0,01;;;;;;1.708.840,56;21.012.895,15;;22.885.806,84;
47; A empresas privadas;;;;;;;;;;;;;;320.000,00;40,10;245.135,41;55.431,19;19,20;30.000,00;10.698,92;;3.073,32;3.700,00;;;1.325,00;50,00;;;;;16,74;;;;;;;669.489,88;
48; A familias e instituciones sin fines de lucro;8.431,15;22.826,74;;1.321,54;232,96;;20.499.542,56;548,60;;;4.600,18;56.092,95;9.663,70;30.541,73;133.882,50;747.551,68;2.884.437,85;41.047,89;24.125,75;15.111,19;4.284,13;28.307,22;221.815,96;1.360,00;3.166,26;4.318,52;21.538,89;132.316,10;35.445,00;1.748,60;44.905,00;2.823,95;;;;;;;24.981.988,60;
49; Al exterior;;715,49;8,50;2,00;;;;30,55;;;447.349,22;242,83;116.496,36;817,57;48.426,89;4.376,71;2.041,68;450,00;178,00;32.628,78;;17.807,75;1.088,41;45,00;2.110,00;389.604,29;150.839,46;2.011,30;53,00;;53.759,03;2.778,78;17.860.350,00;;;;;;19.134.211,60;
5;FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.964.420,00;;;;;3.964.420,00;
50; Dotación al Fondo de Contingencia de ejecución presupuestaria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.964.420,00;;;;;3.964.420,00;
6;INVERSIONES REALES;;6.113,16;2.876,52;1.200,00;400,00;;;2.799,82;;;65.028,03;201.331,01;5.868.928,77;120.293,41;284.946,60;2.617.541,18;72.082,44;17.401,09;40.722,11;181.217,21;25.824,37;965.864,61;37.240,02;25.183,84;27.679,73;17.071,30;6.384,48;6.753,85;26.753,74;7.005,00;14.281,00;436.929,50;;;;;;;11.079.852,79;
60; Inversión nueva en infraestructuras y bienes destinados al uso general;;;;;;;;;;;;;;;;864.684,22;;;;43.532,47;;235.205,04;4.000,00;;;;;;;;;;;;;;;;1.147.421,73;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;;5,00;;;;;;;;;;;;;;1.368.899,01;;;;9.859,00;;318.198,55;;24.000,00;;;;;;;;;;;;;;;1.720.961,56;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;795,25;2.755,52;250,00;45,00;;;2.242,62;;;50.460,71;148.150,88;;67,95;118.155,01;14.253,60;5.142,21;3.906,40;1.167,17;1.317,46;8.356,82;3.101,00;11.647,31;;25.062,70;903,76;2.213,73;1.620,96;117,00;5,00;1.310,00;4.937,85;;;;;;;407.985,91;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;2.656,01;121,00;950,00;325,00;;;557,20;;;13.521,49;26.810,45;587,99;87.527,62;164.579,48;8.538,88;7.537,80;13.209,12;3.883,19;8.723,98;17.073,84;4.933,14;16.349,62;;1.728,28;4.860,52;2.580,00;2.622,89;7.876,64;;12.471,00;1.943,01;;;;;;;411.968,15;
64; Gastos de inversiones de carácter inmaterial;;2.656,90;;;30,00;;;;;;1.045,83;26.369,68;;32.697,84;2.212,11;20.758,59;965,08;285,57;14.971,75;117.784,30;393,71;126.312,00;5.243,09;1.183,84;888,75;5.450,19;1.590,75;2.510,00;18.760,10;;500,00;52.420,36;;;;;;;435.030,44;
65; Inversiones militares en infraestructura y otros bienes;;;;;;;;;;;;;5.246.648,10;;;;;;;;;;;;;;;;;;;;;;;;;;5.246.648,10;
66; Inversiones militares asociadas al funcionamiento operativo de los servicios;;;;;;;;;;;;;437.534,11;;;;;;;;;;;;;;;;;;;;;;;;;;437.534,11;
67; Gastos militares de inversiones de carácter inmaterial;;;;;;;;;;;;;27.013,24;;;;;;;;;;;;;;;;;;;;;;;;;;27.013,24;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;;;;;;;;;;;;;157.145,33;;;340.406,88;58.437,35;;20.700,00;;;278.114,88;;;;5.856,83;;;;7.000,00;;377.628,28;;;;;;;1.245.289,55;
7;TRANSFERENCIAS DE CAPITAL;;;;;;;;;;;10.000,00;;188,00;142.000,00;5.753,81;3.818.884,54;302.435,70;90,00;3.890.420,27;266.909,19;53.416,00;4.476.034,82;83.780,88;2.079.915,57;569.008,71;258.176,47;1.472.700,75;8.093,00;10.000,00;90.052,00;300,00;3.902.650,00;170.000,00;;582.430,00;480.569,69;;;22.673.809,40;
