;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 08 CONSEJO GENERAL DEL PODER JUDICIAL;
;Programa: 111O Selección y formación de jueces;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;08.01;;Total;
1;GASTOS DE PERSONAL;13.991,27;;13.991,27;
12; Funcionarios;10.847,17;;10.847,17;
13; Laborales;121,44;;121,44;
15; Incentivos al rendimiento;5,15;;5,15;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;3.017,51;;3.017,51;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.734,97;;9.734,97;
20; Arrendamientos y cánones;24,20;;24,20;
21; Reparaciones, mantenimiento y conservación;318,80;;318,80;
22; Material, suministros y otros;2.414,32;;2.414,32;
23; Indemnizaciones por razón del servicio;6.977,65;;6.977,65;
4;TRANSFERENCIAS CORRIENTES;140,50;;140,50;
48; A familias e instituciones sin fines de lucro;122,50;;122,50;
49; Al exterior;18,00;;18,00;
6;INVERSIONES REALES;269,00;;269,00;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;151,00;;151,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;118,00;;118,00;
;TOTAL;24.135,74;;24.135,74;
;;



