;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 08 CONSEJO GENERAL DEL PODER JUDICIAL;
;Programa: 111P Documentación y publicaciones judiciales;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;08.01;;Total;
1;GASTOS DE PERSONAL;2.807,86;;2.807,86;
12; Funcionarios;2.187,52;;2.187,52;
13; Laborales;343,99;;343,99;
15; Incentivos al rendimiento;3,15;;3,15;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;273,20;;273,20;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;7.871,85;;7.871,85;
20; Arrendamientos y cánones;32,00;;32,00;
21; Reparaciones, mantenimiento y conservación;503,60;;503,60;
22; Material, suministros y otros;7.122,25;;7.122,25;
23; Indemnizaciones por razón del servicio;67,00;;67,00;
24; Gastos de publicaciones;147,00;;147,00;
6;INVERSIONES REALES;260,10;;260,10;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;256,90;;256,90;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;3,20;;3,20;
;TOTAL;10.939,81;;10.939,81;
;;



