Clasificación por programas;Explicación;Cap. 1 a 8 ;Cap. 9;Total (miles euros);Total (euros)
12SC;C19.I03 Competencias digitales para el empleo. Defensa;11.000,00;;11.000,00;11.000.000,00
121M;Administración y Servicios Generales de Defensa;2.536.909,04;;2.536.909,04;2.536.909.040,00
121N;Formación del Personal de las Fuerzas Armadas;494.328,15;;494.328,15;494.328.150,00
121O;Personal en reserva;579.999,37;;579.999,37;579.999.370,00
122A;Modernización de las Fuerzas Armadas;459.203,70;;459.203,70;459.203.700,00
122B;Programas especiales de modernización;4.901.716,30;;4.901.716,30;4.901.716.300,00
122M;Gastos Operativos de las Fuerzas Armadas;2.305.563,40;;2.305.563,40;2.305.563.400,00
122N;Apoyo Logístico;1.028.109,11;;1.028.109,11;1.028.109.110,00
222M;Prestaciones económicas del Mutualismo Administrativo;78.542,21;2;78.544,21;78.544.210,00
312A;Asistencia hospitalaria en las Fuerzas Armadas;178.236,75;;178.236,75;178.236.750,00
312E;Asistencia sanitaria del Mutualismo Administrativo;758.956,87;;758.956,87;758.956.870,00
42KD;Plan de Transición Energética en la AGE;159.592,89;;159.592,89;159.592.890,00
464A;Investigación y estudios de las Fuerzas Armadas;232.101,48;;232.101,48;232.101.480,00
912Q;Asesoramiento para la protección de los intereses nacionales;334.108,04;;334.108,04;334.108.040,00
931P;Control interno y Contabilidad Pública;62,13;;62,13;62.130,00
TOTAL CONSOLIDADO;;14.058.429,44;2;14.058.431,44;14.058.431.440,00
000X;Transferencias y libramientos internos;395.156,29;250;395.406,29;395.406.290,00
TOTAL GENERAL;;14.453.585,73;252;14.453.837,73;14.453.837.730,00
