Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
28.107;15;Incentivos al rendimiento;1.931,94;1.931.940
28.107;150;Productividad;1.841,69;1.841.690
28.107;151;Gratificaciones;90,25;90.250
28.107;16000;Seguridad Social;8.810,55;8.810.550
28.107;16200;Formación y perfeccionamiento del personal;64,56;64.560
28.107;16204;Acción social;142,82;142.820
28.107;—;TOTAL GASTOS DE PERSONAL;45.229,23;45.229.230
28.107;202;Arrendamientos de edificios y otras construcciones;32,1;32.100
28.107;22502;Locales;1.597,35;1.597.350
28.107;22601;Atenciones protocolarias y representativas;1,7;1.700
28.107;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;24.536,42;24.536.420
28.107;35;Intereses de demora y otros gastos financieros;60;60.000,00
28.107;352;Intereses de demora;60;60.000,00
28.107;—;TOTAL GASTOS FINANCIEROS;60;60.000
28.107;44;A entidades del Sector Público Estatal;82.308,93;82.308.930
28.107;441;Fundación CNIO Carlos III;21.837,68;21.837.680
28.107;442;Fundación CNIC Carlos III;16.841,30;16.841.300
28.107;443;Fundación FECYT;400;400.000,00
28.107;445;Fundación CIEN;1.275,00;1.275.000
28.107;446;CIBER;40.554,95;40.554.950
28.107;449;Convenios consorcios estatales;1.400,00;1.400.000
28.107;45;A Comunidades Autónomas;20;20.000
28.107;456;Fomento de la investigación en salud;20;20.000
28.107;48;A familias e instituciones sin fines de lucro;1.045,83;1.045.830,00
28.107;483;Programa Recursos Humanos e Investigación Intramural;593,04;593.040
28.107;484;Fomento de la investigación en salud;102,5;102.500
28.107;487;Asociación Registro Malformaciones Congénitas;350,29;350.290
28.107;49;Al exterior;2.521,46;2.521.460
28.107;491;Cuotas y convenios internacionales;2.521,46;2.521.460
28.107;—;TOTAL TRANSFERENCIAS CORRIENTES;85.896,22;85.896.220
28.107;6;INVERSIONES REALES;10.282,20;10.282.200
28.107;741;Fundación CNIO Carlos III;1.031,09;1.031.090,00
28.107;742;Fundación CNIC Carlos III;1.154,70;1.154.700,00
28.107;745;Fundación CIEN;50;50.000,00
28.107;746;CIBER;1.200,00;1.200.000
28.107;—;TOTAL TRANSFERENCIAS DE CAPITAL;163.857,38;163.857.380,00
28.107;83;Préstamos fuera del Sector Público;201;201.000,00
28.107;830;Préstamos a corto plazo;26;26.000,00
28.107;831;Préstamos a largo plazo;175;175.000
28.107;84;Depósitos y fianzas;25;25.000
28.107;840;Depósitos;25;25.000,00
28.107;—;TOTAL ACTIVOS FINANCIEROS;226;226.000
28.107;—;TOTAL INSTITUTO DE SALUD CARLOS III;330.087,45;330.087.450
—;—;TOTAL PROGRAMA 465A – Investigación Sanitaria;330.087,45;330.087.450
