;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 465A Investigación sanitaria;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;28.107;;Total;
1;GASTOS DE PERSONAL;45.229,23;;45.229,23;
10; Altos cargos;122,08;;122,08;
12; Funcionarios;22.541,53;;22.541,53;
13; Laborales;11.031,69;;11.031,69;
15; Incentivos al rendimiento;1.931,94;;1.931,94;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;9.601,99;;9.601,99;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;24.536,42;;24.536,42;
20; Arrendamientos y cánones;175,06;;175,06;
21; Reparaciones, mantenimiento y conservación;2.723,70;;2.723,70;
22; Material, suministros y otros;19.829,07;;19.829,07;
23; Indemnizaciones por razón del servicio;1.767,93;;1.767,93;
24; Gastos de publicaciones;40,66;;40,66;
3;GASTOS FINANCIEROS;60,00;;60,00;
35; Intereses de demora y otros gastos financieros;60,00;;60,00;
4;TRANSFERENCIAS CORRIENTES;85.896,22;;85.896,22;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;82.308,93;;82.308,93;
45; A Comunidades Autónomas;20,00;;20,00;
48; A familias e instituciones sin fines de lucro;1.045,83;;1.045,83;
49; Al exterior;2.521,46;;2.521,46;
6;INVERSIONES REALES;10.282,20;;10.282,20;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;7.577,60;;7.577,60;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;2.233,41;;2.233,41;
64; Gastos de inversiones de carácter inmaterial;471,19;;471,19;
7;TRANSFERENCIAS DE CAPITAL;163.857,38;;163.857,38;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;6.224,97;;6.224,97;
75; A Comunidades Autónomas;147.936,80;;147.936,80;
76; A Entidades Locales;20,00;;20,00;
78; A familias e instituciones sin fines de lucro;9.675,61;;9.675,61;
8;ACTIVOS FINANCIEROS;226,00;;226,00;
83; Concesión de préstamos fuera del Sector Público;201,00;;201,00;
84; Constitución de depósitos y fianzas;25,00;;25,00;
;TOTAL;330.087,45;;330.087,45;
;;



