Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
28.01;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;
28.01;10;Altos cargos;279,72;279.720,00
28.01;11;Personal eventual;685,56;685.560,00
28.01;12;Funcionarios;35.937,63;35.937.630,00
28.01;13;Laborales;612,62;612.620,00
28.01;15;Incentivos al rendimiento;1.930,48;1.930.480,00
28.01;150;Productividad;1.894,84;1.894.840,00
28.01;151;Gratificaciones;35,64;35.640,00
28.01;16;Cuotas y gastos sociales del empleador;1.888,29;1.888.290,00
28.01;16000;Seguridad Social;1.274,55;1.274.550,00
28.01;16200;Formación y perfeccionamiento del personal;146,68;146.680,00
28.01;16201;Economatos y comedores;46,97;46.970,00
28.01;16204;Acción social;313,45;313.450,00
;;TOTAL GASTOS DE PERSONAL;41.334,30;41.334.300,00
28.01;20;Arrendamientos y cánones;622,43;622.430,00
28.01;202;Arrendamientos de edificios y construcciones;622,43;622.430,00
28.01;21;Reparaciones, mantenimiento y conservación;507,26;507.260,00
28.01;22;Material, suministros y otros;6.733,23;6.733.230,00
28.01;22502;Locales;483,4;483.400,00
28.01;22601;Atenciones protocolarias y representativas;10;10.000,00
28.01;23;Indemnizaciones por razón del servicio;465,99;465.990,00
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.328,91;8.328.910,00
28.01;6;INVERSIONES REALES;4.850,59;4.850.590,00
28.01;83;Concesión de préstamos fuera del Sector Público;20;20.000,00
28.01;830;Préstamos a corto plazo;3,5;3.500,00
28.01;831;Préstamos a largo plazo;16,5;16.500,00
;;TOTAL ACTIVOS FINANCIEROS;20;20.000,00
;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;54.533,80;54.533.800,00
28.02;;SECRETARÍA GENERAL TÉCNICA;;
28.02;10;Altos cargos;61,04;61.040,00
28.02;12;Funcionarios;1.993,49;1.993.490,00
28.02;16;Cuotas y gastos sociales del empleador;272,69;272.690,00
28.02;16000;Seguridad Social;272,69;272.690,00
;;TOTAL GASTOS DE PERSONAL;2.327,22;2.327.220,00
28.02;22;Material, suministros y otros;561,8;561.800,00
28.02;22601;Atenciones protocolarias y representativas;3;3.000,00
28.02;23;Indemnizaciones por razón del servicio;1,47;1.470,00
28.02;24;Gastos de publicaciones;203;203.000,00
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;766,27;766.270,00
;;TOTAL SECRETARÍA GENERAL TÉCNICA;3.093,49;3.093.490,00
;;TOTAL PROGRAMA 461M;57.627,29;57.627.290,00
