Económica;Explicación;28.01 ;28.09 ;28.301;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;—;—;506.196,27;506.196,27;506.196.270,00
10;Altos cargos;—;—;92,25;92,25;92.250,00
12;Funcionarios;—;—;292.683,29;292.683,29;292.683.290,00
13;Laborales;—;—;83.048,09;83.048,09;83.048.090,00
15;Incentivos al rendimiento;—;—;29.253,32;29.253,32;29.253.320,00
16;Cuotas, prestaciones y gastos sociales del empleador;—;—;101.119,32;101.119,32;101.119.320,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;—;846,6;231.578,39;232.424,99;232.424.990,00
20;Arrendamientos y cánones;—;—;6.701,00;6.701,00;6.701.000,00
21;Reparaciones, mantenimiento y conservación;—;—;21.962,50;21.962,50;21.962.500,00
22;Material, suministros y otros;—;678,93;192.369;193.047,56;193.047.560,00
23;Indemnizaciones por razón del servicio;—;167,67;9.620,00;9.787,67;9.787.670,00
24;Gastos de publicaciones;—;—;926,26;926,26;926.260,00
3;GASTOS FINANCIEROS;—;15;1.446,18;1.461,18;1.461.180,00
35;Intereses de demora y otros gastos financieros;—;15;1.446,18;1.461,18;1.461.180,00
4;TRANSFERENCIAS CORRIENTES;19.120,79;3.075,00;11.292,23;33.488,02;33.488.020,00
44;A entidades del Sector Público Estatal;1.106,00;—;1.046,91;2.152,91;2.152.910,00
45;A Comunidades Autónomas;—;2.650,00;5.040,24;7.690,24;7.690.240,00
48;A familias e instituciones sin fines de lucro;18.014,79;425;2.066,89;20.506,68;20.506.680,00
49;Al exterior;—;—;3.138,19;3.138,19;3.138.190,00
6;INVERSIONES REALES;—;—;305.369,16;305.369,16;305.369.160,00
62;Inversión nueva operativa;—;—;105.660,00;105.660,00;105.660.000,00
63;Inversión de reposición operativa;—;—;30.800,00;30.800,00;30.800.000,00
64;Inversiones de carácter inmaterial;—;—;168.909,16;168.909,16;168.909.160,00
7;TRANSFERENCIAS DE CAPITAL;5.016,85;127.522,34;3.885,79;136.424,98;136.424.980,00
74;A entidades del Sector Público Estatal;100;425;—;525;525.000,00
75;A Comunidades Autónomas;—;17.025,00;1.325,79;18.350,79;18.350.790,00
78;A familias e instituciones sin fines de lucro;4.916,85;110.072,34;2.560,00;117.549,19;117.549.190,00
8;ACTIVOS FINANCIEROS;—;—;328,27;328,27;328.270,00
82;Préstamos al Sector Público;—;—;15;15;15.000,00
83;Préstamos fuera del Sector Público;—;—;313,27;313,27;313.270,00
—;TOTAL PROGRAMA 463A: INVESTIGACIÓN CIENTÍFICA;24.137,64;131.458,94;1.060.096,29;1.215.692,87;1.215.692.870,00
