;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 322C Enseñanzas universitarias;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;28.09;28.101;28.102;28.104;;Total;
1;GASTOS DE PERSONAL;7.691,04;5.086,86;6.968,76;5.074,41;;24.821,07;
10; Altos cargos;71,16;;;61,04;;132,20;
12; Funcionarios;6.457,54;1.377,02;5.197,25;735,39;;13.767,20;
13; Laborales;498,91;2.508,92;108,61;2.970,19;;6.086,63;
15; Incentivos al rendimiento;;124,18;165,83;78,90;;368,91;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;663,43;1.076,74;1.497,07;1.228,89;;4.466,13;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;4.814,21;9.257,03;4.438,37;6.566,23;;25.075,84;
20; Arrendamientos y cánones;;100,15;11,55;30,00;;141,70;
21; Reparaciones, mantenimiento y conservación;4,27;654,82;25,20;477,50;;1.161,79;
22; Material, suministros y otros;4.458,76;8.024,67;3.348,38;1.203,29;;17.035,10;
23; Indemnizaciones por razón del servicio;351,18;477,39;977,24;4.855,44;;6.661,25;
24; Gastos de publicaciones;;;76,00;;;76,00;
3;GASTOS FINANCIEROS;15,00;34,35;4,35;1,00;;54,70;
35; Intereses de demora y otros gastos financieros;15,00;34,35;4,35;1,00;;54,70;
4;TRANSFERENCIAS CORRIENTES;86.939,78;205,65;25,00;;;87.170,43;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;71.796,26;76,47;;;;71.872,73;
45; A Comunidades Autónomas;12.193,58;;;;;12.193,58;
46; A Entidades Locales;;40,68;;;;40,68;
48; A familias e instituciones sin fines de lucro;924,00;86,00;25,00;;;1.035,00;
49; Al exterior;2.025,94;2,50;;;;2.028,44;
6;INVERSIONES REALES;145,00;1.144,13;510,00;1.220,00;;3.019,13;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;60,00;662,00;30,00;200,00;;952,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;80,00;447,13;350,00;270,00;;1.147,13;
64; Gastos de inversiones de carácter inmaterial;5,00;35,00;130,00;750,00;;920,00;
7;TRANSFERENCIAS DE CAPITAL;6.110,26;;;;;6.110,26;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;5.700,26;;;;;5.700,26;
75; A Comunidades Autónomas;300,00;;;;;300,00;
78; A familias e instituciones sin fines de lucro;110,00;;;;;110,00;
8;ACTIVOS FINANCIEROS;;15,13;8,50;15,00;;38,63;
83; Concesión de préstamos fuera del Sector Público;;15,13;8,50;15,00;;38,63;
;TOTAL;105.715,29;15.743,15;11.954,98;12.876,64;;146.290,06;
;;



