;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 46QC C17.I03 Nuevos proyectos I+D+I Publico Privados, Interdisciplinares, Pruebas de concepto y concesión de ayudas consecuencia de convocatorias competitivas internacionales. I+D de vanguardia orientada a retos de la sociedad. Compra pública pre-comercial.;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;28.50;28.103;28.107;28.301;28.303;Total;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;66,39;;;66,39;
29; Gastos corrientes en bienes y servicios. Mecanismo de Recuperación y Resiliencia;;;66,39;;;66,39;
6;INVERSIONES REALES;;91,32;;978,17;;1.069,49;
69; Inversiones reales. Mecanismo de Recuperación y Resiliencia;;91,32;;978,17;;1.069,49;
7;TRANSFERENCIAS DE CAPITAL;100.000,00;;;;341.431,65;441.431,65;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;100.000,00;;;;;100.000,00;
75; A Comunidades Autónomas;;;;;341.431,65;341.431,65;
;TOTAL;100.000,00;91,32;66,39;978,17;341.431,65;442.567,53;
;;



