Económica;Explicación;28.08 ;28.302;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.442,46;6.525,75;8.968,21;8.968.210
10;Altos cargos;71,16;78,29;149,45;149.450
12;Funcionarios;1.891,98;2.281,89;4.173,87;4.173.870
13;Laborales;219,4;1.507,63;1.727,03;1.727.030
14;Otro personal;—;168,27;168,27;168.270
15;Incentivos al rendimiento;—;938,85;938,85;938.850
16;Cuotas, prestaciones y gastos sociales;259,92;1.550,82;1.810,74;1.810.740
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.538,68;5.543,97;8.082,65;8.082.650
20;Arrendamientos y cánones;—;61;61;61.000
21;Reparaciones, mantenimiento y conservación;—;156,37;156,37;156.370,00
22;Material, suministros y otros;2.326,74;1.135,06;3.461,80;3.461.800
23;Indemnizaciones por razón del servicio;211,94;4.141,54;4.353,48;4.353.480,00
24;Gastos de publicaciones;—;50;50,00;50.000
3;GASTOS FINANCIEROS;5;250;255;255.000
35;Intereses de demora y otros gastos financieros;5;250;255;255.000,00
4;TRANSFERENCIAS CORRIENTES;17.422,64;53,75;17.476,39;17.476.390,00
44;A entidades del Sector Público Estatal;11.748,07;26,95;11.775,02;11.775.020
46;A Entidades Locales;5.153,85;—;5.153,85;5.153.850
47;A empresas privadas;50,00;—;50,00;50.000
48;A familias e instituciones sin fines de lucro;250,00;26,8;276,80;276.800,00
49;Al exterior;220,72;—;220,72;220.720,00
6;INVERSIONES REALES;545,75;2.626,53;3.172,28;3.172.280,00
62;Inversión nueva asociada al funcionamiento operativo;—;937,1;937,10;937.100
63;Inversión de reposición asociada al funcionamiento operativo;—;1.283,97;1.283,97;1.283.970
64;Gastos de inversiones de carácter inmaterial;545,75;405,46;951,21;951.210
7;TRANSFERENCIAS DE CAPITAL;211.231,05;300.000,00;511.231,05;511.231.050
74;A entidades del Sector Público Estatal;198.831,05;—;198.831,05;198.831.050
75;A Comunidades Autónomas;8.000,00;—;8.000,00;8.000.000,00
77;A empresas privadas;3.000,00;—;3.000,00;3.000.000,00
78;A familias e instituciones sin fines de lucro;1.400,00;—;1.400,00;1.400.000,00
79;Al exterior;—;300.000,00;300.000,00;300.000.000,00
8;ACTIVOS FINANCIEROS;938.270,00;—;938.270,00;938.270.000,00
82;Préstamos al Sector Público;253.000,00;—;253.000,00;253.000.000,00
87;Aportaciones patrimoniales;685.270,00;—;685.270,00;685.270.000,00
—;TOTAL PROGRAMA 467C – Investigación y desarrollo tecnológico-industrial;1.172.455,58;315.000,00;1.487.455,58;1.487.455.580,00
