;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 467C Investigación y desarrollo tecnológico-industrial;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;28.08;28.302;Total;
1;GASTOS DE PERSONAL;2.442,46;6.525,75;8.968,21;
10; Altos cargos;71,16;78,29;149,45;
12; Funcionarios;1.891,98;2.281,89;4.173,87;
13; Laborales;219,40;1.507,63;1.727,03;
14; Otro personal;;168,27;168,27;
15; Incentivos al rendimiento;;938,85;938,85;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;259,92;1.550,82;1.810,74;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;2.538,68;5.543,97;8.082,65;
20; Arrendamientos y cánones;;61,00;61,00;
21; Reparaciones, mantenimiento y conservación;;156,37;156,37;
22; Material, suministros y otros;2.326,74;1.135,06;3.461,80;
23; Indemnizaciones por razón del servicio;211,94;4.141,54;4.353,48;
24; Gastos de publicaciones;;50,00;50,00;
3;GASTOS FINANCIEROS;5,00;250,00;255,00;
35; Intereses de demora y otros gastos financieros;5,00;250,00;255,00;
4;TRANSFERENCIAS CORRIENTES;17.422,64;53,75;17.476,39;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;11.748,07;26,95;11.775,02;
46; A Entidades Locales;5.153,85;;5.153,85;
47; A empresas privadas;50,00;;50,00;
48; A familias e instituciones sin fines de lucro;250,00;26,80;276,80;
49; Al exterior;220,72;;220,72;
6;INVERSIONES REALES;545,75;2.626,53;3.172,28;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;937,10;937,10;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.283,97;1.283,97;
64; Gastos de inversiones de carácter inmaterial;545,75;405,46;951,21;
7;TRANSFERENCIAS DE CAPITAL;211.231,05;300.000,00;511.231,05;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;198.831,05;;198.831,05;
75; A Comunidades Autónomas;8.000,00;;8.000,00;
77; A empresas privadas;3.000,00;;3.000,00;
78; A familias e instituciones sin fines de lucro;1.400,00;;1.400,00;
79; Al exterior;;300.000,00;300.000,00;
8;ACTIVOS FINANCIEROS;938.270,00;;938.270,00;
82; Concesión de préstamos al Sector Público;253.000,00;;253.000,00;
87; Aportaciones patrimoniales;685.270,00;;685.270,00;
;TOTAL;1.172.455,58;315.000,00;1.487.455,58;
;;



