;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 465A Investigación sanitaria;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Económica;Explicación;;Total;
28.107;;INSTITUTO DE SALUD CARLOS III;;;
;1;GASTOS DE PERSONAL;;;
;15;Incentivos al rendimiento;;1.931,94;
;150;Productividad;;1.841,69;
;151;Gratificaciones;;90,25;
;16000; Seguridad Social;8.810,55;;
;16200; Formación y perfeccionamiento del personal;64,56;;
;16204; Acción social;142,82;;
;;TOTAL GASTOS DE PERSONAL;;45.229,23;
 ; ;;;;
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;202;Arrendamientos de edificios y otras construcciones;;32,10;
;22502; Locales;1.597,35;;
;22601; Atenciones protocolarias y representativas;1,70;;
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;24.536,42;
 ; ;;;;
;3;GASTOS FINANCIEROS;;;
;35;Intereses de demora y otros gastos financieros;;60,00;
;352;Intereses de demora;;60,00;
;;TOTAL GASTOS FINANCIEROS;;60,00;
 ; ;;;;
;4;TRANSFERENCIAS CORRIENTES;;;
;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;82.308,93;
;441;A la Fundación Centro Nacional de Investigaciones Oncológicas Carlos III;;21.837,68;
;442;A la Fundación Centro Nacional de Investigaciones Cardiovasculares Carlos III;;16.841,30;
;443;A la Fundación Española para la Ciencia y Tecnología, F.S.P. (FECYT);;400,00;
;445;A la Fundación Centro de Investigación de Enfermedades Neurológicas;;1.275,00;
;446;A Centros de Investigación Biomédica en Red (CIBER);;40.554,95;
;449;Para convenios para la creación de consorcios estatales;;1.400,00;
;45;A Comunidades Autónomas;;20,00;
;456;Para el fomento de la investigación en salud;;20,00;
;48;A familias e instituciones sin fines de lucro;;1.045,83;
;483;Para el Programa de Recursos Humanos y Difusión de la Investigación Biomédica del Fondo de Investigación Sanitaria e Investigación Intramural;;593,04;
;484;Para el fomento de la investigación en salud;;102,50;
;487;A la Asociación para el Registro y Estudio de Malformaciones Congénitas;;350,29;
;49;Al exterior;;2.521,46;
;491;Cuotas y convenios internacionales;;2.521,46;
;;TOTAL TRANSFERENCIAS CORRIENTES;;85.896,22;
 ; ;;;;
;6;INVERSIONES REALES;;10.282,20;
 ; ;;;;
;7;TRANSFERENCIAS DE CAPITAL;;;
;741;A la Fundación Centro Nacional de Investigaciones Oncológicas Carlos III;;1.031,09;
;742;A la Fundación Centro Nacional de Investigaciones Cardiovasculares Carlos III;;1.154,70;
;745;A la Fundación Centro de Investigación de Enfermedades Neurológicas;;50,00;
;746;A Centros de Investigación Biomédica en Red (CIBER);;1.200,00;
;;TOTAL TRANSFERENCIAS DE CAPITAL;;163.857,38;
 ; ;;;;
;8;ACTIVOS FINANCIEROS;;;
;83;Concesión de préstamos fuera del Sector Público;;201,00;
;830;Préstamos a corto plazo;;26,00;
;831;Préstamos a largo plazo;;175,00;
;84;Constitución de depósitos y fianzas;;25,00;
;840;Depósitos;;25,00;
;;TOTAL ACTIVOS FINANCIEROS;;226,00;
 ; ;;;;
;;TOTAL INSTITUTO DE SALUD CARLOS III;;330.087,45;
 ; ;;;;
 ; ;;;;
;;TOTAL Investigación sanitaria;;330.087,45;
;;



