;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 463A Investigación científica;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;28.01;28.09;28.301;;;Total;
1;GASTOS DE PERSONAL;;;506.196,27;;;506.196,27;
10; Altos cargos;;;92,25;;;92,25;
12; Funcionarios;;;292.683,29;;;292.683,29;
13; Laborales;;;83.048,09;;;83.048,09;
15; Incentivos al rendimiento;;;29.253,32;;;29.253,32;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;;;101.119,32;;;101.119,32;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;846,60;231.578,39;;;232.424,99;
20; Arrendamientos y cánones;;;6.701,00;;;6.701,00;
21; Reparaciones, mantenimiento y conservación;;;21.962,50;;;21.962,50;
22; Material, suministros y otros;;678,93;192.368,63;;;193.047,56;
23; Indemnizaciones por razón del servicio;;167,67;9.620,00;;;9.787,67;
24; Gastos de publicaciones;;;926,26;;;926,26;
3;GASTOS FINANCIEROS;;15,00;1.446,18;;;1.461,18;
35; Intereses de demora y otros gastos financieros;;15,00;1.446,18;;;1.461,18;
4;TRANSFERENCIAS CORRIENTES;19.120,79;3.075,00;11.292,23;;;33.488,02;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;1.106,00;;1.046,91;;;2.152,91;
45; A Comunidades Autónomas;;2.650,00;5.040,24;;;7.690,24;
48; A familias e instituciones sin fines de lucro;18.014,79;425,00;2.066,89;;;20.506,68;
49; Al exterior;;;3.138,19;;;3.138,19;
6;INVERSIONES REALES;;;305.369,16;;;305.369,16;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;;105.660,00;;;105.660,00;
63; Inversión de reposición asociada al funcionamiento operativo de los servicios;;;30.800,00;;;30.800,00;
64; Gastos de inversiones de carácter inmaterial;;;168.909,16;;;168.909,16;
7;TRANSFERENCIAS DE CAPITAL;5.016,85;127.522,34;3.885,79;;;136.424,98;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;100,00;425,00;;;;525,00;
75; A Comunidades Autónomas;;17.025,00;1.325,79;;;18.350,79;
78; A familias e instituciones sin fines de lucro;4.916,85;110.072,34;2.560,00;;;117.549,19;
8;ACTIVOS FINANCIEROS;;;328,27;;;328,27;
82; Concesión de préstamos al Sector Público;;;15,00;;;15,00;
83; Concesión de préstamos fuera del Sector Público;;;313,27;;;313,27;
;TOTAL;24.137,64;131.458,94;1.060.096,29;;;1.215.692,87;
;;



