Orgánica;Unidad;Tipo de Gasto;Total (miles euros);Total (euros)
28.06;41;A Organismos Autónomos;186.828,18;186.828.180
28.06;411;Al CIEMAT;45.594,70;45.594.700
28.06;414;Al Instituto de Salud Carlos III (ISCIII);141.133,48;141.133.480
28.06;415;"A la UIMP – Aula de Verano ""Blas Cabrera""";100;100.000
28.06;43;A otras entidades del Sector Público Administrativo Estatal;470.089,13;470.089.130
28.06;430;Al CSIC;440.105,11;440.105.110
28.06;431;A la Agencia Estatal de Investigación (AEI);29.984,02;29.984.020
28.06;71;A Organismos Autónomos – Capital;98.710,70;98.710.700
28.06;711;Al CIEMAT – Capital;25.689,27;25.689.270
28.06;714;Al ISCIII – Capital;73.021,43;73.021.430
28.06;73;A otras entidades del Sector Público Administrativo Estatal – Capital;833.352,26;833.352.260
28.06;730;Al CSIC – Capital;114.142,67;114.142.670,00
28.06;731;A la AEI – Capital;719.209,59;719.209.590,00
28.07;43;A la AEMET – Corrientes;44;44.000
28.07;73;A la AEMET – Capital;15;15.000
28.07;82;Préstamos al Sector Público;4.163,97;4.163.970
28.08;43;A la Agencia Espacial Española (AEE) – Corrientes;15.000,00;15.000.000,00
28.08;73;A la AEE – Capital;300.000,00;300.000.000
28.09;41;A Organismos Autónomos – Universidades;57.134,96;57.134.960,00
28.09;410;A la UIMP;3.883,64;3.883.640,00
28.09;411;Al SEPIE;44.356,30;44.356.300
28.09;419;A la ANECA;8.895,02;8.895.020
28.09;71;A Organismos Autónomos – Capital;1.453,03;1.453.030,00
28.50;711;Al CIEMAT – Mecanismo de Recuperación y Resiliencia;26.490,97;26.490.970,00
28.50;71401;Al ISCIII – MRR;58.717,05;58.717.050,00
28.50;71402;Al ISCIII – PERTE Salud de Vanguardia;100.400,00;100.400.000,00
28.50;730;Al CSIC – MRR;112.146,09;112.146.090,00
28.50;731;A la AEI – MRR;568.682,00;568.682.000,00
28.103;73;Al CSIC – Contaminación atmosférica;28,65;28.650,00
28.103;91;Amortización de préstamos;450;450.000,00
28.107;71;Al CIEMAT – Acción Estratégica en Salud;19,36;19.360,00
28.107;73;Al CSIC – Acción Estratégica en Salud;229,3;229.300,00
28.301;412;A la UIMP – Postgrado;500;500.000,00
28.301;413;Al INTA – Centro de Astrobiología;940,6;940.600,00
28.301;414;Al ISCIII – Cuotas EU-OPENSCREEN y Elixir;53,71;53.710,00
28.303;711;Al Instituto de Salud Carlos III – Fondo para la Investigación Científica y el Desarrollo Tecnológico;741,35;741.350,00
28.303;713;Al Instituto Nacional de Técnica Aeroespacial “Esteban Terradas” – Fondo para la I+D+i;2.448,28;2.448.280,00
28.303;715;Al CIEMAT – Fondo para la Investigación Científica y el Desarrollo Tecnológico;3.120,84;3.120.840,00
28.303;717;Al Centro Nacional de Información Geográfica – Fondo para la I+D+i;106,26;106.260,00
28.303;719;Mecanismo de Recuperación y Resiliencia;241,08;241.080,00
28.303;71911;Al Instituto de Salud Carlos III – MRR;118,99;118.990,00
28.303;71915;Al CIEMAT – MRR;117,62;117.620,00
28.303;71916;Al CEDEX – MRR;4,47;4.470,00
28.303;730;Al CSIC – Fondo para la Investigación Científica y el Desarrollo Tecnológico;78.016,52;78.016.520,00
28.303;731;A la Agencia Estatal de Meteorología – Fondo para la I+D+i;77,2;77.200,00
28.303;732;Al CSIC – Mecanismo de Recuperación y Resiliencia;3.934,87;3.934.870,00
—;—;TOTAL PROGRAMA 000X – Transferencias y libramientos internos;2.925.313,00;2.925.313.000,00
