Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
28.08;10;Altos cargos;71,16;71.160
28.08;12;Funcionarios;1.891,98;1.891.980
28.08;13;Laborales;219,4;219.400
28.08;16;Seguridad Social;259,92;259.920
—;—;Total Gastos de Personal – Secretaría;2.442,46;2.442.460
28.08;22;Material, suministros y otros;2.326,74;2.326.740
28.08;22601;Atenciones protocolarias;4,26;4.260
28.08;23;Indemnizaciones por razón del servicio;211,94;211.940
—;—;Total Gastos Corrientes – Secretaría;2.538,68;2.538.680
28.08;35;Intereses de demora;5;5.000,00
—;—;Total Gastos Financieros – Secretaría;5;5.000,00
28.08;44900;Fundación Española para la Ciencia y la Tecnología;10.152,00;10.152.000,00
28.08;44904;CDTI – Oficinas de la Red Exterior;908,3;908.300,00
28.08;44905;CDTI – Financiación RED PI+D+i;687,77;687.770,00
28.08;460;Entidades locales – Red Innpulso;5.000,00;5.000.000,00
28.08;461;PROMALAGA – Foro Europeo TRANSFIERE;153,85;153.850,00
28.08;471;Premios Nacionales de Innovación y Diseño (empresas privadas);50;50.000,00
28.08;48004;Asociación Red INNPULSO – funcionamiento;150;150.000,00
28.08;485;Premios Nacionales de Innovación y Diseño (familias/instituciones sin ánimo de lucro);100;100.000,00
28.08;499;Transferencias al exterior;220,72;220.720,00
—;—;Total Transferencias Corrientes – Secretaría;17.422,64;17.422.640,00
28.08;74900;Fundación Española para la Ciencia y la Tecnología;4.000,00;4.000.000,00
28.08;74904;CDTI – Actividades de financiación;18.081,05;18.081.050,00
28.08;74907;CDTI – Proyectos I+D+i cofinanciados por FEDER;26.750,00;26.750.000,00
28.08;74908;CDTI – Proyectos I+D+i empresarial;65.000,00;65.000.000,00
28.08;74921;CDTI – Programa Misiones Ciencia e Innovación;70.000,00;70.000.000,00
28.08;74923;CDTI – Compra pública precomercial (extinción incendios forestales);15.000,00;15.000.000,00
28.08;750–752;A Comunidades Autónomas (La Rioja, UPV, Generalitat de Catalunya);8.000,00;8.000.000,00
28.08;770–771;Mondragón Unibertsitatea – Innovación industrial y educativa;3.000,00;3.000.000,00
28.08;780–781;CIC Energigune / Universidad de Deusto – Transferencia tecnológica;1.400,00;1.400.000,00
—;—;Total Transferencias de Capital – Secretaría;211.231,05;211.231.050,00
28.08;821;Préstamos a largo plazo al Sector Público;253.000,00;253.000.000,00
28.08;87000;CDTI – Apoyo a proyectos de I+D+i;358.270,00;358.270.000,00
28.08;87001;CDTI – Programa INNVIERTE;200.000,00;200.000.000,00
28.08;87003;CDTI – Fondo Provisiones Técnicas (Red Cervera y proyectos I+D+i);127.000,00;127.000.000,00
—;—;Total Activos Financieros – Secretaría;938.270,00;938.270.000,00
28.302;150;Productividad;551,34;551.340,00
28.302;151;Gratificaciones;387,51;387.510,00
28.302;15;Incentivos al rendimiento;938,85;938.850,00
28.302;16200;Formación y perfeccionamiento del personal;54;54.000,00
28.302;16201;Economatos y comedores;80;80.000,00
28.302;16204;Acción social;65;65.000,00
—;—;Total Gastos de Personal – Agencia Espacial Española;6.525,75;6.525.750,00
28.302;202;Arrendamientos de edificios y otras construcciones;1;1.000,00
28.302;22109;Labores Fábrica Nacional Moneda y Timbre;1,5;1.500,00
28.302;22601;Atenciones protocolarias y representativas;6;6.000,00
—;—;Total Gastos Corrientes – Agencia Espacial Española;8,5;8.500,00
28.302;—;Agencia Espacial Española;315.000,00;315.000.000,00
;;28.08 Secretaría General de Innovación;1.172.455,58;1.172.455.580,00
;;28.302 Agencia Espacial Española;315.000,00;315.000.000,00
;;—;1.487.455,58;1.487.455.580,00
