;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 28 MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;
;Programa: 463B Fomento y coordinación de la investigación científica y técnica;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;28.06;28.07;28.303;;;Total;
1;GASTOS DE PERSONAL;2.319,74;2.616,93;12.345,37;;;17.282,04;
10; Altos cargos;71,16;61,04;87,52;;;219,72;
12; Funcionarios;1.738,95;2.020,27;8.678,77;;;12.437,99;
13; Laborales;205,09;91,33;1.183,84;;;1.480,26;
15; Incentivos al rendimiento;;;924,43;;;924,43;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;304,54;444,29;1.470,81;;;2.219,64;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;10.389,09;527,47;19.002,35;;;29.918,91;
20; Arrendamientos y cánones;;;33,65;;;33,65;
21; Reparaciones, mantenimiento y conservación;;;278,89;;;278,89;
22; Material, suministros y otros;10.207,01;232,53;9.251,94;;;19.691,48;
23; Indemnizaciones por razón del servicio;182,08;294,94;9.437,87;;;9.914,89;
3;GASTOS FINANCIEROS;1,00;;300,00;;;301,00;
35; Intereses de demora y otros gastos financieros;1,00;;300,00;;;301,00;
4;TRANSFERENCIAS CORRIENTES;14.260,42;196.381,09;85,00;;;210.726,51;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;13.460,42;39.877,29;;;;53.337,71;
45; A Comunidades Autónomas;;7.735,00;;;;7.735,00;
48; A familias e instituciones sin fines de lucro;800,00;176,00;;;;976,00;
49; Al exterior;;148.592,80;85,00;;;148.677,80;
6;INVERSIONES REALES;300,00;543,14;70,00;;;913,14;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;300,00;3,14;;;;303,14;
64; Gastos de inversiones de carácter inmaterial;;540,00;70,00;;;610,00;
7;TRANSFERENCIAS DE CAPITAL;110.774,50;53.715,75;734.980,44;;;899.470,69;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;510,00;24.875,73;21.950,05;;;47.335,78;
75; A Comunidades Autónomas;49.264,50;8.500,00;575.631,62;;;633.396,12;
76; A Entidades Locales;;13.000,00;380,82;;;13.380,82;
77; A empresas privadas;;;18.421,30;;;18.421,30;
78; A familias e instituciones sin fines de lucro;61.000,00;;118.596,65;;;179.596,65;
79; Al exterior;;7.340,02;;;;7.340,02;
8;ACTIVOS FINANCIEROS;;1.857.464,56;20,00;;;1.857.484,56;
82; Concesión de préstamos al Sector Público;;1.404.696,94;;;;1.404.696,94;
83; Concesión de préstamos fuera del Sector Público;;452.767,62;20,00;;;452.787,62;
;TOTAL;138.044,75;2.111.248,94;766.803,16;;;3.016.096,85;
;;



