;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico económico del presupuesto de gastos;
;;
;Sección: 25 MINISTERIO DE VIVIENDA Y AGENDA URBANA;
;Programa: 261N Promoción, administración y ayudas para rehabilitación y acceso a vivienda;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;25.09;;Total;
1;GASTOS DE PERSONAL;2.182,33;;2.182,33;
10; Altos cargos;61,04;;61,04;
12; Funcionarios;1.847,43;;1.847,43;
13; Laborales;73,86;;73,86;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;200,00;;200,00;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;241,30;;241,30;
22; Material, suministros y otros;241,30;;241,30;
3;GASTOS FINANCIEROS;1.630,00;;1.630,00;
35; Intereses de demora y otros gastos financieros;1.630,00;;1.630,00;
4;TRANSFERENCIAS CORRIENTES;3.000,00;;3.000,00;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;2.000,00;;2.000,00;
48; A familias e instituciones sin fines de lucro;1.000,00;;1.000,00;
6;INVERSIONES REALES;350,00;;350,00;
64; Gastos de inversiones de carácter inmaterial;350,00;;350,00;
7;TRANSFERENCIAS DE CAPITAL;691.948,12;;691.948,12;
74; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;185,00;;185,00;
75; A Comunidades Autónomas;595.869,00;;595.869,00;
76; A Entidades Locales;32.919,12;;32.919,12;
78; A familias e instituciones sin fines de lucro;62.975,00;;62.975,00;
8;ACTIVOS FINANCIEROS;260.000,00;;260.000,00;
87; Aportaciones patrimoniales;260.000,00;;260.000,00;
9;PASIVOS FINANCIEROS;165,00;;165,00;
94; Devolución de depósitos y fianzas;165,00;;165,00;
;TOTAL;959.516,75;;959.516,75;
;;



