Económica;Explicación;Orgánica;Total (miles euros);Total (euros)
1;Gastos de personal;25.10;1.777,12;1.777.120,00
10;Altos cargos;25.10;61,04;61.040,00
12;Funcionarios;25.10;1.404,58;1.404.580,00
13;Laborales;25.10;101,5;101.500,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;25.10;210;210.000,00
2;Gastos corrientes en bienes y servicios;25.10;972,25;972.250,00
22;Material, suministros y otros;25.10;972,25;972.250,00
22601;Atenciones protocolarias y representativas;25.10;2,25;2.250,00
4;Transferencias corrientes;25.10;300;300.000,00
48;A familias e instituciones sin fines de lucro (Premios y congresos);25.10;300;300.000,00
6;Inversiones reales;25.10;24.450,00;24.450.000,00
7;Transferencias de capital;25.10;2.942,45;2.942.450,00
74–78;A entidades públicas, privadas, locales, universidades y fundaciones (incluye 1% Cultural y Bienales);25.10;2.942,45;2.942.450,00
—;TOTAL PROGRAMA 261O – Dirección General de Agenda Urbana y Arquitectura;25.10;30.441,82;30.441.820,00
