Económica;Explicación;Orgánica;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;25.01;3.969,00;3.969.000,00
10;Altos cargos;25.01;151,94;151.940,00
11;Personal eventual;25.01;194,97;194.970,00
12;Funcionarios;25.01;1.886,09;1.886.090,00
15;Incentivos al rendimiento;25.01;1.206,00;1.206.000,00
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;25.01;530;530.000,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;25.01;285;285.000,00
22;Material, suministros y otros;25.01;35;35.000,00
23;Indemnizaciones por razón del servicio;25.01;250;250.000,00
—;TOTAL PROGRAMA 261M Dirección y Servicios Generales;25.01;4.254,00;4.254.000,00
