Servicio;Programa;Económica;Explicación;Total (miles euros);Total (euros)
1;461N;10;Altos cargos;208,56;208.560
1;461N;10000;Retribuciones básicas;114,61;114.610
1;461N;10001;Retribuciones complementarias;93,95;93.950
1;461N;11;Personal eventual;521,72;521.720
1;461N;11000;Retribuciones básicas;180,66;180.660
1;461N;11001;Retribuciones complementarias;341,06;341.060
1;461N;12;Funcionarios;6.443,18;6.443.180
1;461N;120;Retribuciones básicas;2.301,01;2.301.010
1;461N;121;Retribuciones complementarias;4.142,17;4.142.170
1;461N;13;Laborales;229,44;229.440
1;461N;130;Laboral fijo;150,45;150.450
1;461N;131;Laboral eventual;78,99;78.990
1;461N;15;Incentivos al rendimiento;1.854,71;1.854.710
1;461N;150;Productividad;1.847,32;1.847.320
1;461N;151;Gratificaciones;7,39;7.390
1;461N;16;Cuotas sociales y gastos sociales;945,54;945.540
1;461N;16000;Seguridad Social;637,04;637.040
1;461N;162;Gastos sociales del personal;308,50;308.500
—;—;—;TOTAL GASTOS DE PERSONAL;10.203,15;10.203.150
1;461N;20;Arrendamientos y cánones;645;645.000
1;461N;21;Reparaciones, mantenimiento y conservación;342,62;342.620
1;461N;22;Material, suministros y otros;7.163,61;7.163.610
1;461N;23;Indemnizaciones por razón del servicio;146,00;146.000
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;8.297,23;8.297.230
1;461N;62;Inversión nueva operativa;203,28;203.280
1;461N;63;Inversión de reposición operativa;584,54;584.540
1;461N;64;Gastos de inversiones de carácter inmaterial;1.466,26;1.466.260
—;—;—;TOTAL INVERSIONES REALES;2.254,08;2.254.080
1;461N;83;Concesión de préstamos fuera del Sector Público;12,22;12.220
1;461N;830;Préstamos a corto plazo;1,63;1.630,00
1;461N;831;Préstamos a largo plazo;10,59;10.590,00
—;—;—;TOTAL ACTIVOS FINANCIEROS;12,22;12.220,00
—;—;—;TOTAL Dirección y Servicios Generales de Transformación Digital;20.766,68;20.766.680
—;—;—;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;20.766,68;20.766.680
2;461N;10;Altos cargos;61,04;61.040
2;461N;10000;Retribuciones básicas;18,91;18.910
2;461N;10001;Retribuciones complementarias;42,13;42.130
2;461N;12;Funcionarios;1.451,53;1.451.530
2;461N;120;Retribuciones básicas;680,37;680.370
2;461N;121;Retribuciones complementarias;771,16;771.160
2;461N;13;Laborales;46,28;46.280
2;461N;13000;Retribuciones básicas;42,37;42.370
2;461N;13001;Otras remuneraciones;3,91;3.910
2;461N;16;Cuotas sociales;201,49;201.490
2;461N;16000;Seguridad Social;201,49;201.490
—;—;—;TOTAL GASTOS DE PERSONAL;1.760,34;1.760.340
2;461N;22;Material, suministros y otros;28;28.000
2;461N;22001;Prensa, revistas, libros y otras publicaciones;4;4.000
2;461N;226;Gastos diversos;6;6.000
2;461N;22601;Atenciones protocolarias y representativas;1;1.000
2;461N;22606;Reuniones, conferencias y cursos;5;5.000
2;461N;227;Trabajos realizados por otras empresas y profesionales;18;18.000
2;461N;22706;Estudios y trabajos técnicos;18;18.000
2;461N;23;Indemnizaciones por razón del servicio;10;10.000
2;461N;230;Dietas;5;5.000
2;461N;231;Locomoción;4,95;4.950
2;461N;233;Otras indemnizaciones;0,05;50
2;461N;24;Gastos de publicaciones;18;18.000
2;461N;240;Gastos de edición y distribución;18;18.000
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;56;56.000
—;—;—;TOTAL Dirección y Servicios Generales de Transformación Digital;1.816,34;1.816.340
—;—;—;TOTAL SECRETARÍA GENERAL TÉCNICA;1.816,34;1.816.340
3;461N;1;GASTOS DE PERSONAL;2.046,31;2.046.310
3;461N;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.958,53;1.958.530
—;—;—;TOTAL Dirección y Servicios Generales de Transformación Digital;4.004,84;4.004.840
3;467I;4;TRANSFERENCIAS CORRIENTES;150;150.000
3;467I;6;INVERSIONES REALES;3.620,35;3.620.350
3;467I;7;TRANSFERENCIAS DE CAPITAL;6.500,00;6.500.000
3;467I;8;ACTIVOS FINANCIEROS;5.000,00;5.000.000
—;—;—;TOTAL Innovación tecnológica de las telecomunicaciones;15.270,35;15.270.350
3;491M;1;GASTOS DE PERSONAL;17.278,47;17.278.470
3;491M;4;TRANSFERENCIAS CORRIENTES;2.714,78;2.714.780
3;491M;6;INVERSIONES REALES;15.260,69;15.260.690
3;491M;7;TRANSFERENCIAS DE CAPITAL;250;250.000
3;491M;8;ACTIVOS FINANCIEROS;2.000,00;2.000.000
—;—;—;TOTAL Ordenación y promoción de las telecomunicaciones y de la Sociedad de la Información;37.503,94;37.503.940,00
;;;TOTAL SECRETARÍA DE ESTADO DE TELECOMUNICACIONES E INFRAESTRUCTURAS DIGITALES;56.779,13;56.779.130,00
4;461N;1;GASTOS DE PERSONAL;3.536,03;3.536.030
4;461N;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;924,08;924.080
—;—;—;TOTAL Dirección y Servicios Generales de Transformación Digital;4.460,11;4.460.110
4;467G;1;GASTOS DE PERSONAL;4.058,87;4.058.870
4;467G;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;5.000,00;5.000.000
4;467G;4;TRANSFERENCIAS CORRIENTES;187,84;187.840
4;467G;6;INVERSIONES REALES;4.900,00;4.900.000
4;467G;7;TRANSFERENCIAS DE CAPITAL;11.100,00;11.100.000
4;467G;8;ACTIVOS FINANCIEROS;16.000,00;16.000.000
—;—;—;TOTAL Investigación y desarrollo de la Sociedad de la Información;41.246,71;41.246.710
4;467I;1;GASTOS DE PERSONAL;2.699,98;2.699.980
4;467I;4;TRANSFERENCIAS CORRIENTES;2.395,00;2.395.000
4;467I;6;INVERSIONES REALES;14.582,76;14.582.760
4;467I;7;TRANSFERENCIAS DE CAPITAL;24.300,00;24.300.000
4;467I;8;ACTIVOS FINANCIEROS;144.825,40;144.825.400
—;—;—;TOTAL Innovación tecnológica de las telecomunicaciones;188.803,14;188.803.140
;;;TOTAL SECRETARÍA DE ESTADO DE DIGITALIZACIÓN E INTELIGENCIA ARTIFICIAL;234.509,96;234.509.960
5;467G;10;Altos cargos;71,16;71.160
5;467G;10000;Retribuciones básicas;19,34;19.340
5;467G;10001;Retribuciones complementarias;51,82;51.820
5;467G;12;Funcionarios;10.682,45;10.682.450
5;467G;120;Retribuciones básicas;4.933,52;4.933.520
5;467G;121;Retribuciones complementarias;5.748,93;5.748.930
5;467G;13;Laborales;388,88;388.880
5;467G;130;Laboral fijo;166,87;166.870
5;467G;131;Laboral eventual;222,01;222.010
5;467G;16;Cuotas sociales;1.732,66;1.732.660
5;467G;16000;Seguridad Social;1.732,66;1.732.660
—;—;—;TOTAL GASTOS DE PERSONAL;12.875,15;12.875.150
5;467G;21;Reparaciones, mantenimiento y conservación;4.260,45;4.260.450
5;467G;22;Material, suministros y otros;12.639,71;12.639.710
5;467G;225;Tributos;4;4.000
5;467G;226;Gastos diversos;10,29;10.290
5;467G;227;Trabajos realizados por otras empresas y profesionales;11.717,81;11.717.810
5;467G;23;Indemnizaciones por razón del servicio;76,7;76.700
—;—;—;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;16.976,86;16.976.860
5;467G;62;Inversión nueva operativa;3.122,09;3.122.090
5;467G;63;Inversión de reposición operativa;1.227,97;1.227.970
5;467G;64;Gastos de inversiones de carácter inmaterial;13.257,28;13.257.280
—;—;—;TOTAL INVERSIONES REALES;17.607,34;17.607.340
—;—;—;TOTAL Investigación y desarrollo de la Sociedad de la Información;47.459,35;47.459.350
—;—;—;TOTAL SECRETARÍA GENERAL DE ADMINISTRACIÓN DIGITAL;47.459,35;47.459.350
;;;233;Otras indemnizaciones;
6;921N;1;GASTOS DE PERSONAL;16.691,83;16.691.830
6;921N;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.405,72;1.405.720
6;921N;4;TRANSFERENCIAS CORRIENTES;1.344,69;1.344.690
6;921N;6;INVERSIONES REALES;1.076,00;1.076.000
—;—;—;TOTAL Dirección y organización de la Administración Pública;20.518,24;20.518.240
6;000X;4;TRANSFERENCIAS CORRIENTES;28.173,32;28.173.320
6;000X;7;TRANSFERENCIAS DE CAPITAL;3.448,49;3.448.490
—;—;—;TOTAL Transferencias y libramientos internos;31.621,81;31.621.810
;;;TOTAL SECRETARÍA DE ESTADO DE FUNCIÓN PÚBLICA;52.140,05;52.140.050
50;46KA;69;Inversiones reales MRR;233.393,17;233.393.170
50;46KA;692;Inversión nueva operativa MRR;68.390,03;68.390.030
50;46KA;694;Gastos de inversiones inmateriales MRR;165.003,14;165.003.140
—;—;—;TOTAL C11.I01;233.393,17;233.393.170
50;46LA;77;A empresas privadas MRR;400.000,00;400.000.000
—;—;—;TOTAL C12.I01;400.000,00;400.000.000
50;46MA;69;Inversiones reales MRR;20.000,00;20.000.000
50;46MA;74–78;Transferencias de capital MRR;28.000,00;28.000.000
50;46MA;82;Préstamos al Sector Público MRR;12.000,00;12.000.000
—;—;—;TOTAL C13.I01;60.000,00;60.000.000
50;46MC;69;Inversiones reales MRR;31.000,00;31.000.000
50;46MC;74–77;Transferencias de capital MRR;1.291.000,00;1.291.000.000
—;—;—;TOTAL C13.I03;1.322.000,00;1.322.000.000,00
50;46NB;77;A empresas privadas MRR;100.000,00;100.000.000
—;—;—;TOTAL C14.I02;100.000,00;100.000.000
50;46OA;77;A empresas privadas MRR;256.000,00;256.000.000
—;—;—;TOTAL C15.I01;256.000,00;256.000.000
50;46OB;74–75;Transferencias a Sector Público Estatal y CC.AA. MRR;155.000,00;155.000.000
—;—;—;TOTAL C15.I02;155.000,00;155.000.000
50;46OC;75;A Comunidades Autónomas MRR;10.000,00;10.000.000
—;—;—;TOTAL C15.I03;10.000,00;10.000.000
50;46OD;75;A Comunidades Autónomas MRR;20.000,00;20.000.000
—;—;—;TOTAL C15.I04;20.000,00;20.000.000
50;46OE;74–77;Transferencias de capital MRR;550.000,00;550.000.000
50;46OE;82;Préstamos al Sector Público MRR;800.000,00;800.000.000
—;—;—;TOTAL C15.I05;1.350.000,00;1.350.000.000,00
50;46OG;44;A INCIBE para impulso internacional en ciberseguridad;2.620,00;2.620.000
50;46OG;74;A INCIBE para fortalecimiento y ayudas en ciberseguridad;129.000,00;129.000.000
—;—;—;TOTAL C15.I07;131.620,00;131.620.000
50;46PR;69;Inversiones reales MRR;5.400,00;5.400.000
50;46PR;74–77;Transferencias de capital MRR;81.200,00;81.200.000
—;—;—;TOTAL C16.R01;86.600,00;86.600.000
50;46RF;69;Inversiones reales MRR;65.000,00;65.000.000
—;—;—;TOTAL C18.I06;65.000,00;65.000.000
50;46SA;44;Campaña de difusión y sensibilización MRR;2.000,00;2.000.000
50;46SA;74–75;Transferencias a Red.es y CCAA para formación digital;24.000,00;24.000.000,00
—;—;—;TOTAL C19.I01;26.000,00;26.000.000
50;46SD;69;Inversiones reales MRR;5.000,00;5.000.000
—;—;—;TOTAL C19.I04;5.000,00;5.000.000
50;46UE;74;A Red.es — Programa UNI_DIGITAL MRR;10.000,00;10.000.000
—;—;—;TOTAL C21.I05;10.000,00;10.000.000
49;49OF;69;Inversiones reales MRR;15.000,00;15.000.000
