Programa;Económica;Explicación;Total (miles euros);Total (euros)
132B;1;GASTOS DE PERSONAL;530.803,08;530.803.080,00
132B;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;196.404,61;196.404.610,00
132B;3;GASTOS FINANCIEROS;52,89;52.890,00
132B;4;TRANSFERENCIAS CORRIENTES;671,9;671.900,00
132B;6;INVERSIONES REALES;115.161,31;115.161.310,00
132B;8;ACTIVOS FINANCIEROS;598,31;598.310,00
—;—;TOTAL Programa 132B;843.692,10;843.692.100,00
000X;4;TRANSFERENCIAS CORRIENTES;136.154,92;136.154.920,00
—;—;TOTAL Programa 000X;136.154,92;136.154.920,00
16.101;;Jefatura Central de Tráfico;979.847,02;979.847.020,00
