Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;2.086.756,64;2.086.756.640,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.142.464,70;3.142.464.700,00
3;GASTOS FINANCIEROS;6.975,68;6.975.680,00
4;TRANSFERENCIAS CORRIENTES;36.211.441,42;36.211.441.420,00
—;TOTAL OPERACIONES CORRIENTES;41.447.638,44;41.447.638.440,00
6;INVERSIONES REALES;1.402.942,61;1.402.942.610,00
7;TRANSFERENCIAS DE CAPITAL;2.314.548,59;2.314.548.590,00
—;TOTAL OPERACIONES DE CAPITAL;3.717.491,20;3.717.491.200,00
—;TOTAL OPERACIONES NO FINANCIERAS;45.165.129,64;45.165.129.640,00
8;ACTIVOS FINANCIEROS;7.243,77;7.243.770,00
—;TOTAL Capítulos 1–8;45.172.373,41;45.172.373.410,00
9;PASIVOS FINANCIEROS;36.289,60;36.289.600,00
—;TOTAL Capítulo 9;36.289,60;36.289.600,00
—;TOTAL PRESUPUESTO;45.208.663,01;45.208.663.010,00
4;TRANSFERENCIAS CORRIENTES;–402.384,81;–402.384.810,00
7;TRANSFERENCIAS DE CAPITAL;–18.057,03;–18.057.030,00
—;TOTAL Capítulos 1–8;–420.441,84;–420.441.840,00
9;PASIVOS FINANCIEROS;–727,60;–727.600,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;–421.169,44;–421.169.440,00
;TOTAL CONSOLIDADO;44.787.493,57;44.787.493.570,00
