;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por capítulos del presupuesto de gastos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Económica;Explicación;Total;
1; GASTOS DE PERSONAL;2.086.756,64;
2; GASTOS CORRIENTES EN BIENES Y SERVICIOS;3.142.464,70;
3; GASTOS FINANCIEROS;6.975,68;
4; TRANSFERENCIAS CORRIENTES;36.211.441,42;
;TOTAL OPERACIONES CORRIENTES;41.447.638,44;
6; INVERSIONES REALES;1.402.942,61;
7; TRANSFERENCIAS DE CAPITAL;2.314.548,59;
;TOTAL OPERACIONES DE CAPITAL;3.717.491,20;
;TOTAL OPERACIONES NO FINANCIERAS;45.165.129,64;
8; ACTIVOS FINANCIEROS;7.243,77;
;TOTAL Capítulos 1-8;45.172.373,41;
9; PASIVOS FINANCIEROS;36.289,60;
;TOTAL Capítulo 9;36.289,60;
;TOTAL PRESUPUESTO;45.208.663,01;
4; TRANSFERENCIAS CORRIENTES;-402.384,81;
7; TRANSFERENCIAS DE CAPITAL;-18.057,03;
;TOTAL Capítulos 1-8;-420.441,84;
9; PASIVOS FINANCIEROS;-727,60;
;TOTAL Capítulo 9;-727,60;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-421.169,44;
;TOTAL CONSOLIDADO;44.787.493,57;
;;



