;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
v;01;;;MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;;
v;;421M;;Dirección y Servicios Generales de Industria y Turismo;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;208,56;
;;;100;Retribuciones básicas y otras remuneraciones;;208,56;
;;;10000; Retribuciones básicas;114,61;;
;;;10001; Retribuciones complementarias;93,95;;
v;;;11;Personal eventual;;519,92;
;;;110;Retribuciones básicas y otras remuneraciones;;519,92;
;;;11000; Retribuciones básicas;200,27;;
;;;11001; Retribuciones complementarias;319,65;;
v;;;12;Funcionarios;;17.391,85;
;;;120;Retribuciones básicas;;4.782,75;
;;;12000; Sueldos del grupo A1 y grupo A;966,18;;
;;;12001; Sueldos del grupo A2 y grupo B;822,58;;
;;;12002; Sueldos del grupo C1 y grupo C;627,27;;
;;;12003; Sueldos del grupo C2 y grupo D;473,87;;
;;;12004; Sueldos personal de agrupaciones profesionales y grupo E;7,36;;
;;;12005; Trienios;1.043,60;;
;;;12006; Pagas extraordinarias;841,89;;
;;;121;Retribuciones complementarias;;11.193,72;
;;;12100; Complemento de destino;2.017,85;;
;;;12101; Complemento específico;2.832,54;;
;;;12181; Necesidades adicionales;6.343,33;;
;;;123;Indemnizaciones percibidas por destino en el extranjero;;231,80;
;;;12300; Indemnización por destino en el extranjero;231,80;;
;;;124;Retribuciones de funcionarios en prácticas;;1.183,58;
;;;12400; Sueldos del grupo A1 y grupo A;906,72;;
;;;12401; Sueldos del grupo A2 y grupo B;154,24;;
;;;12406; Pagas extraordinarias;112,01;;
;;;12407; Retribuciones complementarias;10,61;;
v;;;13;Laborales;;2.487,73;
;;;130;Laboral fijo;;2.468,67;
;;;13000; Retribuciones básicas;2.377,38;;
;;;13001; Otras remuneraciones;91,29;;
;;;131;Laboral eventual;;19,06;
v;;;15;Incentivos al rendimiento;;3.957,50;
v;;;150;Productividad;;3.873,22;
v;;;151;Gratificaciones;;84,28;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.534,65;
;;;160;Cuotas sociales;;1.794,65;
v;;;16000; Seguridad Social;1.737,74;;
;;;16009; Otras;56,91;;
;;;162;Gastos sociales del personal;;1.740,00;
v;;;16200; Formación y perfeccionamiento del personal;369,17;;
v;;;16201; Economatos y comedores;87,12;;
v;;;16204; Acción social;370,93;;
;;;16205; Seguros;197,85;;
;;;16209; Otros;714,93;;
;;;;TOTAL GASTOS DE PERSONAL;;28.100,21;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;20;Arrendamientos y cánones;;406,77;
v;;;202;Arrendamientos de edificios y otras construcciones;;390,55;
;;;203;Arrendamientos de maquinaria, instalaciones y utillaje;;10,81;
;;;205;Arrendamientos de mobiliario y enseres;;4,80;
;;;206;Arrendamientos de equipos para procesos de información;;0,61;
v;;;21;Reparaciones, mantenimiento y conservación;;4.107,23;
;;;212;Edificios y otras construcciones;;317,44;
;;;213;Maquinaria, instalaciones y utillaje;;1.080,26;
;;;214;Elementos de transporte;;9,26;
;;;215;Mobiliario y enseres;;156,62;
;;;216;Equipos para procesos de la información;;2.543,65;
v;;;22;Material, suministros y otros;;7.839,26;
;;;220;Material de oficina;;192,57;
;;;22000; Ordinario no inventariable;43,01;;
;;;22001; Prensa, revistas, libros y otras publicaciones;42,18;;
;;;22002; Material informático no inventariable;107,38;;
;;;221;Suministros;;3.057,70;
;;;22100; Energía eléctrica;535,10;;
;;;22101; Agua;39,93;;
;;;22102; Gas;5,89;;
;;;22103; Combustible;2.087,25;;
;;;22104; Vestuario;27,56;;
;;;22106; Productos farmacéuticos y material sanitario;49,81;;
v;;;22109; Labores Fábrica Nacional Moneda y Timbre;22,08;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;158,48;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;85,40;;
;;;22199; Otros suministros;46,20;;
;;;222;Comunicaciones;;21,38;
;;;22200; Servicios de telecomunicaciones;11,55;;
;;;22201; Postales y mensajería;9,83;;
;;;223;Transportes;;71,87;
;;;224;Primas de seguros;;3,84;
;;;225;Tributos;;2.125,47;
v;;;22502; Locales;2.125,47;;
;;;226;Gastos diversos;;609,69;
v;;;22601; Atenciones protocolarias y representativas;45,80;;
;;;22602; Publicidad y propaganda;18,72;;
;;;22603; Jurídicos, contenciosos;399,24;;
;;;22606; Reuniones, conferencias y cursos;125,95;;
;;;22607; Oposiciones y pruebas selectivas;11,91;;
;;;22699; Otros;8,07;;
;;;227;Trabajos realizados por otras empresas y profesionales;;1.756,74;
;;;22700; Limpieza y aseo;68,51;;
;;;22701; Seguridad;1.328,84;;
;;;22704; Custodia, depósito y almacenaje;5,75;;
;;;22706; Estudios y trabajos técnicos;276,78;;
;;;22799; Otros;76,86;;
v;;;23;Indemnizaciones por razón del servicio;;801,34;
;;;230;Dietas;;264,20;
;;;231;Locomoción;;322,61;
;;;232;Traslado;;82,15;
;;;233;Otras indemnizaciones;;132,38;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;13.154,60;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
v;;;35;Intereses de demora y otros gastos financieros;;1,00;
v;;;352;Intereses de demora;;1,00;
;;;;TOTAL GASTOS FINANCIEROS;;1,00;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;178,35;
v;;;443;A la Fundación Centro Nacional del Vidrio. Real Fábrica de Cristales de La Granja;;178,35;
v;;;48;A familias e instituciones sin fines de lucro;;250,75;
v;;;480;Para concesión de becas, asistencia a congresos, cursos, seminarios y otras subvenciones;;237,37;
v;;;481;Para premios a la innovación;;13,38;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;429,10;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.167,17;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;1.167,17;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;3.883,19;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;3.883,19;
;;;64;Gastos de inversiones de carácter inmaterial;;7.603,92;
;;;640;Gastos en inversiones de carácter inmaterial;;7.603,92;
;;;;TOTAL INVERSIONES REALES;;12.654,28;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;83;Concesión de préstamos fuera del Sector Público;;173,94;
v;;;830;Préstamos a corto plazo;;13,75;
;;;83008; Familias e instituciones sin fines de lucro;13,75;;
v;;;831;Préstamos a largo plazo;;160,19;
;;;83108; Familias e instituciones sin fines de lucro;160,19;;
;;;;TOTAL ACTIVOS FINANCIEROS;;173,94;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Industria y Turismo;;54.513,13;
 ; ;;;;;;
;;;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;54.513,13;
 ; ;;;;;;
 ; ;;;;;;
v;02;;;SECRETARÍA GENERAL TÉCNICA;;;
v;;421M;;Dirección y Servicios Generales de Industria y Turismo;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;61,04;
;;;100;Retribuciones básicas y otras remuneraciones;;61,04;
;;;10000; Retribuciones básicas;18,91;;
;;;10001; Retribuciones complementarias;42,13;;
v;;;12;Funcionarios;;3.603,72;
;;;120;Retribuciones básicas;;1.731,24;
;;;12000; Sueldos del grupo A1 y grupo A;490,52;;
;;;12001; Sueldos del grupo A2 y grupo B;244,21;;
;;;12002; Sueldos del grupo C1 y grupo C;115,81;;
;;;12003; Sueldos del grupo C2 y grupo D;248,98;;
;;;12004; Sueldos personal de agrupaciones profesionales y grupo E;7,36;;
;;;12005; Trienios;313,43;;
;;;12006; Pagas extraordinarias;310,93;;
;;;121;Retribuciones complementarias;;1.872,48;
;;;12100; Complemento de destino;790,31;;
;;;12101; Complemento específico;1.082,17;;
v;;;13;Laborales;;172,86;
;;;130;Laboral fijo;;172,86;
;;;13000; Retribuciones básicas;161,80;;
;;;13001; Otras remuneraciones;11,06;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;332,70;
;;;160;Cuotas sociales;;332,70;
v;;;16000; Seguridad Social;332,70;;
;;;;TOTAL GASTOS DE PERSONAL;;4.170,32;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;38,81;
;;;220;Material de oficina;;37,00;
;;;22001; Prensa, revistas, libros y otras publicaciones;37,00;;
;;;226;Gastos diversos;;1,81;
v;;;22601; Atenciones protocolarias y representativas;1,81;;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;38,81;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Industria y Turismo;;4.209,13;
 ; ;;;;;;
v;;921U;;Publicaciones;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;21;Reparaciones, mantenimiento y conservación;;9,00;
;;;215;Mobiliario y enseres;;9,00;
v;;;22;Material, suministros y otros;;44,78;
;;;221;Suministros;;30,00;
v;;;22109; Labores Fábrica Nacional Moneda y Timbre;30,00;;
;;;226;Gastos diversos;;1,67;
;;;22699; Otros;1,67;;
;;;227;Trabajos realizados por otras empresas y profesionales;;13,11;
;;;22706; Estudios y trabajos técnicos;13,11;;
v;;;24;Gastos de publicaciones;;126,22;
;;;240;Gastos de edición y distribución;;126,22;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;180,00;
 ; ;;;;;;
;;;;TOTAL Publicaciones;;180,00;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA GENERAL TÉCNICA;;4.389,13;
 ; ;;;;;;
 ; ;;;;;;
v;03;;;SECRETARÍA DE ESTADO DE INDUSTRIA;;;
v;;421M;;Dirección y Servicios Generales de Industria y Turismo;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;71,16;
;;;100;Retribuciones básicas y otras remuneraciones;;71,16;
;;;10000; Retribuciones básicas;19,34;;
;;;10001; Retribuciones complementarias;51,82;;
v;;;11;Personal eventual;;289,32;
;;;110;Retribuciones básicas y otras remuneraciones;;289,32;
;;;11000; Retribuciones básicas;106,86;;
;;;11001; Retribuciones complementarias;182,46;;
v;;;12;Funcionarios;;1.044,64;
;;;120;Retribuciones básicas;;458,07;
;;;12000; Sueldos del grupo A1 y grupo A;193,24;;
;;;12001; Sueldos del grupo A2 y grupo B;38,56;;
;;;12002; Sueldos del grupo C1 y grupo C;28,96;;
;;;12003; Sueldos del grupo C2 y grupo D;48,19;;
;;;12005; Trienios;67,30;;
;;;12006; Pagas extraordinarias;81,82;;
;;;121;Retribuciones complementarias;;586,57;
;;;12100; Complemento de destino;221,07;;
;;;12101; Complemento específico;365,50;;
v;;;15;Incentivos al rendimiento;;776,98;
v;;;150;Productividad;;765,81;
v;;;151;Gratificaciones;;11,17;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;100,52;
;;;160;Cuotas sociales;;100,52;
v;;;16000; Seguridad Social;100,52;;
;;;;TOTAL GASTOS DE PERSONAL;;2.282,62;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;3,74;
;;;226;Gastos diversos;;3,74;
v;;;22601; Atenciones protocolarias y representativas;3,74;;
v;;;23;Indemnizaciones por razón del servicio;;80,30;
;;;230;Dietas;;24,00;
;;;231;Locomoción;;56,30;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;84,04;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;4.512,96;
v;;;440;A la Fundación Escuela de Organización Industrial (EOI);;632,93;
v;;;441;A la Fundación Escuela de Organización Industrial para actuaciones financiadas con fondos comunitarios;;700,00;
v;;;442;A la Fundación Escuela de Organización Industrial para promoción de los sectores creativos;;163,66;
v;;;443;A la EOI para actuaciones de digitalización y crecimiento empresarial;;2.650,00;
v;;;444;A la EOI para actuaciones de prosprectiva y estrategia industrial;;366,37;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;4.512,96;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Industria y Turismo;;6.879,62;
 ; ;;;;;;
v;;000X;;Transferencias y libramientos internos;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;41;A Organismos Autónomos;;4.704,22;
v;;;416;Al Centro Español de Metrología;;4.704,22;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;4.704,22;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;71;A Organismos Autónomos;;2.441,36;
v;;;716;Al Centro Español de Metrología;;2.441,36;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;2.441,36;
 ; ;;;;;;
;;;;TOTAL Transferencias y libramientos internos;;7.145,58;
 ; ;;;;;;
;;;;TOTAL SECRETARÍA DE ESTADO DE INDUSTRIA;;14.025,20;
 ; ;;;;;;
 ; ;;;;;;
v;04;;;SECRETARÍA DE ESTADO DE TURISMO;;;
v;;432A;;Coordinación y promoción del turismo;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;80,30;
;;;100;Retribuciones básicas y otras remuneraciones;;80,30;
;;;10000; Retribuciones básicas;19,91;;
;;;10001; Retribuciones complementarias;60,39;;
v;;;11;Personal eventual;;255,34;
;;;110;Retribuciones básicas y otras remuneraciones;;255,34;
;;;11000; Retribuciones básicas;88,54;;
;;;11001; Retribuciones complementarias;166,80;;
v;;;12;Funcionarios;;2.216,27;
;;;120;Retribuciones básicas;;1.055,97;
;;;12000; Sueldos del grupo A1 y grupo A;312,15;;
;;;12001; Sueldos del grupo A2 y grupo B;244,21;;
;;;12002; Sueldos del grupo C1 y grupo C;67,56;;
;;;12003; Sueldos del grupo C2 y grupo D;72,29;;
;;;12005; Trienios;174,47;;
;;;12006; Pagas extraordinarias;185,29;;
;;;121;Retribuciones complementarias;;1.160,30;
;;;12100; Complemento de destino;477,82;;
;;;12101; Complemento específico;682,48;;
v;;;13;Laborales;;26,65;
;;;130;Laboral fijo;;26,65;
;;;13000; Retribuciones básicas;24,31;;
;;;13001; Otras remuneraciones;2,34;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;280,78;
;;;160;Cuotas sociales;;280,78;
v;;;16000; Seguridad Social;280,78;;
;;;;TOTAL GASTOS DE PERSONAL;;2.859,34;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;245,31;
;;;226;Gastos diversos;;75,31;
v;;;22601; Atenciones protocolarias y representativas;5,31;;
;;;22606; Reuniones, conferencias y cursos;70,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;170,00;
;;;22706; Estudios y trabajos técnicos;170,00;;
v;;;23;Indemnizaciones por razón del servicio;;98,00;
;;;230;Dietas;;33,00;
;;;231;Locomoción;;65,00;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;343,31;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
