;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 8;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;R.ENTIDADES;Total;
12SC; C19.I03 Competencias digitales para el empleo. Defensa;11.000,00;;;11.000,00;
121M; Administración y Servicios Generales de Defensa;2.536.909,04;;;2.536.909,04;
121N; Formación del Personal de las Fuerzas Armadas;494.328,15;;;494.328,15;
121O; Personal en reserva;579.999,37;;;579.999,37;
122A; Modernización de las Fuerzas Armadas;340.881,04;118.322,66;;459.203,70;
122B; Programas especiales de modernización;4.901.716,30;;;4.901.716,30;
122M; Gastos Operativos de las Fuerzas Armadas;2.305.563,40;;;2.305.563,40;
122N; Apoyo Logístico;891.810,83;136.298,28;;1.028.109,11;
222M; Prestaciones económicas del Mutualismo Administrativo;;78.542,21;;78.542,21;
312A; Asistencia hospitalaria en las Fuerzas Armadas;178.236,75;;;178.236,75;
312E; Asistencia sanitaria del Mutualismo Administrativo;;758.956,87;;758.956,87;
42KD; C11.I04 Plan de Transición Energética en la Administración General del Estado;156.645,33;;2.947,56;159.592,89;
464A; Investigación y estudios de las Fuerzas Armadas;36.333,08;195.768,40;;232.101,48;
912Q; Asesoramiento para la protección de los intereses nacionales;;;334.108,04;334.108,04;
931P; Control interno y Contabilidad Pública;62,13;;;62,13;
;TOTAL CONSOLIDADO;12.433.485,42;1.287.888,42;337.055,60;14.058.429,44;
000X; Transferencias y libramientos internos;393.692,13;1.464,16;;395.156,29;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;393.692,13;1.464,16;;395.156,29;
;TOTAL;12.827.177,55;1.289.352,58;337.055,60;14.453.585,73;
;;



