;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Presupuesto de gastos;
;;
;Sección: 14 MINISTERIO DE DEFENSA;
;Organismo: 113 INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Programa;Económica;Explicación;;Total;
v;;;INSTITUTO SOCIAL DE LAS FUERZAS ARMADAS;;;
v;222M;;Prestaciones económicas del Mutualismo Administrativo;;;
v;;1;GASTOS DE PERSONAL;;;
;;12;Funcionarios;;15.404,38;
;;120;Retribuciones básicas;;7.415,11;
;;12000;  Sueldos del grupo A1 y grupo A;1.828,46;;
;;12001;  Sueldos del grupo A2 y grupo B;1.393,70;;
;;12002;  Sueldos del grupo C1 y grupo C;620,20;;
;;12003;  Sueldos del grupo C2 y grupo D;574,42;;
;;12005;  Trienios;1.637,03;;
;;12006;  Pagas extraordinarias;1.361,30;;
;;121;Retribuciones complementarias;;7.911,61;
;;12100;  Complemento de destino;2.734,72;;
;;12101;  Complemento específico;3.957,69;;
;;12102;  Indemnización por residencia;220,05;;
;;12103;  Otros complementos;54,15;;
;;12181;  Necesidades adicionales;945,00;;
;;122;Retribuciones en especie;;77,66;
;;12201;  Vestuario;77,66;;
;;13;Laborales;;3.590,50;
;;130;Laboral fijo;;3.590,50;
;;13000;  Retribuciones básicas;3.397,55;;
;;13001;  Otras remuneraciones;192,95;;
v;;15;Incentivos al rendimiento;;1.195,27;
v;;150;Productividad;;255,04;
v;;151;Gratificaciones;;82,20;
;;15100;  Gratificaciones;15,19;;
;;15101;  Gratificaciones por actos asistenciales del personal sanitario militar en los consultorios ISFAS;67,01;;
v;;153;Complemento de dedicación especial;;858,03;
;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;1.737,22;
;;160;Cuotas sociales;;1.663,58;
v;;16000;  Seguridad Social;1.663,58;;
;;162;Gastos sociales del personal;;73,64;
v;;16200;  Formación y perfeccionamiento del personal;12,96;;
v;;16204;  Acción social;60,68;;
;;;TOTAL GASTOS DE PERSONAL;;21.927,37;
 ; ;;;;;
v;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
;;20;Arrendamientos y cánones;;307,67;
v;;202;Arrendamientos de edificios y otras construcciones;;300,62;
;;205;Arrendamientos de mobiliario y enseres;;1,12;
;;206;Arrendamientos de equipos para procesos de información;;5,93;
;;21;Reparaciones, mantenimiento y conservación;;906,79;
;;212;Edificios y otras construcciones;;628,83;
