Programa;Económica;Explicación;Total (miles €);Total (€)
222M;1;GASTOS DE PERSONAL;21.927,37;21.927.370,00
222M;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;9.357,75;9.357.750,00
222M;3;GASTOS FINANCIEROS;3,01;3.010,00
222M;4;TRANSFERENCIAS CORRIENTES;46.055,55;46.055.550,00
222M;6;INVERSIONES REALES;1.000,33;1.000.330,00
222M;8;ACTIVOS FINANCIEROS;198,2;198.200,00
222M;9;PASIVOS FINANCIEROS;2;2.000,00
—;—;TOTAL Programa 222M;78.544,21;78.544.210,00
312E;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;548.249,87;548.249.870,00
312E;4;TRANSFERENCIAS CORRIENTES;210.707,00;210.707.000,00
—;—;TOTAL Programa 312E;758.956,87;758.956.870,00
000X;4;TRANSFERENCIAS CORRIENTES;974,91;974.910,00
—;—;TOTAL Programa 000X;974,91;974.910,00
14.113;;Instituto Social de las Fuerzas Armadas;838.475,99;838.475.990,00
