Orgánica;Económica;Explicación;Total (miles euros);Total (euros)
03.01;10;Altos cargos;1.617,04;1.617.040,00
03.01;11;Personal eventual;1.631,94;1.631.940,00
03.01;12;Funcionarios;48.432,30;48.432.300,00
03.01;13;Laborales;6.718,60;6.718.600,00
03.01;15;Incentivos al rendimiento;4.842,29;4.842.290,00
03.01;150;Productividad;4.825,76;4.825.760,00
03.01;151;Gratificaciones;16,53;16.530,00
03.01;16;Cuotas, prestaciones y gastos sociales;5.277,70;5.277.700,00
03.01;16000;Seguridad Social;4.379,15;4.379.150,00
03.01;16200;Formación y perfeccionamiento del personal;106,28;106.280,00
03.01;16204;Acción social;572,27;572.270,00
03.01;20;Arrendamientos y cánones;1.922,76;1.922.760,00
03.01;202;Arrendamientos de edificios y otras construcciones;1.922,76;1.922.760,00
03.01;21;Reparaciones, mantenimiento y conservación;740,8;740.800,00
03.01;22;Material, suministros y otros;3.591,28;3.591.280,00
03.01;22109;Labores Fábrica Nacional Moneda y Timbre;3,99;3.990,00
03.01;22502;Locales;250;250.000,00
03.01;22601;Atenciones protocolarias y representativas;25;25.000,00
03.01;23;Indemnizaciones por razón del servicio;561,22;561.220,00
03.01;24;Gastos de publicaciones;16,21;16.210,00
03.01;49;Al exterior;8,5;8.500,00
03.01;490;Cuota de España al INTOSAI y OLACEFS;8,5;8.500,00
03.01;6;Inversiones reales;2.876,52;2.876.520,00
03.01;83;Concesión de préstamos fuera del Sector Público;135,2;135.200,00
03.01;831;Préstamos a largo plazo;135,2;135.200,00
03.01;—;Total Tribunal, Fiscalía y Servicios Generales;78.372,36;78.372.360,00
