Económica;Explicación;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;105.799,54;105.799.540,00
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;24.581,51;24.581.510,00
3;GASTOS FINANCIEROS;15,17;15.170,00
4;TRANSFERENCIAS CORRIENTES;745.624,68;745.624.680,00
—;TOTAL OPERACIONES CORRIENTES;876.020,90;876.020.900,00
6;INVERSIONES REALES;965.864,61;965.864.610,00
7;TRANSFERENCIAS DE CAPITAL;8.518.026,89;8.518.026.890,00
—;TOTAL OPERACIONES DE CAPITAL;9.483.891,50;9.483.891.500,00
—;TOTAL OPERACIONES NO FINANCIERAS;10.359.912,40;10.359.912.400,00
8;ACTIVOS FINANCIEROS;942.209,49;942.209.490,00
—;TOTAL PRESUPUESTO;11.302.121,89;11.302.121.890,00
4;TRANSFERENCIAS CORRIENTES (entre subsectores);-289.987,00;-289.987.000,00
7;TRANSFERENCIAS DE CAPITAL (entre subsectores);-4.041.992,07;-4.041.992.070,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;-4.331.979,07;-4.331.979.070,00
—;? TOTAL CONSOLIDADO;6.970.142,82;6.970.142.820,00
