;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y artículos del presupuesto de gastos;
;;
;Sección: 23 MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Económica;Explicación;23.01;23.02;23.03;23.04;23.05;23.06;23.08;23.09;23.10;23.11;23.12;23.13;23.14;23.50;Total;
1;GASTOS DE PERSONAL;34.075,15;2.165,44;2.210,50;1.174,48;7.999,46;25.070,66;6.934,67;4.902,38;2.781,63;6.552,93;10.493,29;486,60;952,35;;105.799,54;
10; Altos cargos;284,67;61,04;151,45;80,30;61,04;61,04;61,04;61,04;61,04;61,04;61,04;71,16;61,04;;1.136,94;
11; Personal eventual;785,95;;251,09;251,09;;;;;;;;;;;1.288,13;
12; Funcionarios;22.318,27;1.881,84;1.504,78;727,82;6.391,97;14.188,49;5.755,64;4.244,66;2.280,66;4.776,08;6.603,88;348,71;762,81;;71.785,61;
13; Laborales;117,40;;;;465,76;6.665,74;21,67;;;640,41;2.330,35;;;;10.241,33;
15; Incentivos al rendimiento;7.784,26;;;;;;;;;;;;;;7.784,26;
16; Cuotas, prestaciones y gastos sociales a cargo del empleador;2.784,60;222,56;303,18;115,27;1.080,69;4.155,39;1.096,32;596,68;439,93;1.075,40;1.498,02;66,73;128,50;;13.563,27;
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;;;;;;;;;24.581,51;;;;24.581,51;
20; Arrendamientos y cánones;;;;;;;;;;;1.205,67;;;;1.205,67;
21; Reparaciones, mantenimiento y conservación;;;;;;;;;;;2.784,80;;;;2.784,80;
22; Material, suministros y otros;;;;;;;;;;;18.680,82;;;;18.680,82;
23; Indemnizaciones por razón del servicio;;;;;;;;;;;1.758,22;;;;1.758,22;
24; Gastos de publicaciones;;;;;;;;;;;152,00;;;;152,00;
3;GASTOS FINANCIEROS;;;;;;;;;;;15,17;;;;15,17;
35; Intereses de demora y otros gastos financieros;;;;;;;;;;;15,17;;;;15,17;
4;TRANSFERENCIAS CORRIENTES;11.546,00;;286.451,44;9.375,00;14.261,75;1.869,28;;4.580,01;222,28;15.197,42;4.725,53;;29.908,97;77.500,00;455.637,68;
44; A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;;27.500,00;;;;;4.580,00;;14.827,42;;;63,87;2.000,00;48.971,29;
45; A Comunidades Autónomas;;;255.000,00;8.500,00;8.000,00;;;;;;;;13.193,00;61.000,00;345.693,00;
46; A Entidades Locales;;;;;;;;;;20,00;;;10.265,10;1.500,00;11.785,10;
47; A empresas privadas;;;;;;;;;;;73,32;;3.000,00;;3.073,32;
48; A familias e instituciones sin fines de lucro;;;3.951,44;875,00;;1.869,28;;0,01;222,28;350,00;4.652,21;;3.387,00;13.000,00;28.307,22;
49; Al exterior;11.546,00;;;;6.261,75;;;;;;;;;;17.807,75;
6;INVERSIONES REALES;;;16.086,93;468,24;426.885,72;68.765,51;7.040,08;11.536,05;1.500,00;142.667,20;12.300,00;;500,00;278.114,88;965.864,61;
60; Inversión nueva en infraestructuras y bienes destinados al uso general;;;;;188.485,72;39.719,32;;;;7.000,00;;;;;235.205,04;
61; Inversión de reposición en infraestructuras y bienes destinados al uso general;;;;;197.400,00;18.046,19;;;;102.752,36;;;;;318.198,55;
62; Inversión nueva asociada al funcionamiento operativo de los servicios;;;;;500,00;;;;;1.001,00;1.600,00;;;;3.101,00;
