Código;Programa;Cap. 4 ;Cap. 1 a 8 ;Importe (miles Euros);Importe (euros)
211B;Pensiones de Clases Pasivas;20.369.000,89;20.369.000,89;20.369.000,89;20.369.000.890,00
211C;Otras pensiones y prestaciones de Clases Pasivas;49.447,74;49.447,74;49.447,74;49.447.740,00
212B;Pensiones de guerra;81.093,93;81.093,93;81.093,93;81.093.930,00
—;TOTAL CONSOLIDADO;—;—;20.499.542,56;20.499.542.560,00
000X;Transferencias y libramientos internos;249,75;249,75;249,75;249.750,00
—;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;—;—;249,75;249.750,00
—;TOTAL GENERAL SECCIÓN 07 – CLASES PASIVAS;—;—;20.499.792,31;20.499.792.310,00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
