Económica;Explicación;Secc. 01;Secc. 02;Secc. 03;Secc. 04;Secc. 05;Secc. 06;Secc. 07;Secc. 08;Secc. 09;Secc. 10;Secc. 12;Secc. 13;Secc. 14;Secc. 15;Secc. 16;Secc. 17;Secc. 18;Secc. 19;Secc. 20;Secc. 21;Secc. 22;Secc. 23;Secc. 24;Secc. 25;Secc. 26;Secc. 27;Secc. 28;Secc. 29;Secc. 30;Secc. 31;Secc. 32;Secc. 33;Secc. 34;Secc. 35;Secc. 36;Secc. 37;Secc. 38;Total (miles euros);Total (euros)
1;GASTOS DE PERSONAL;–;164.221,54;68.519,87;21.252,60;11.170,76;–;–;47.878,75;2.281.136,60;–;373.133,97;1.877.885,62;5.375.480,68;420.994,05;8.056.741,20;177.178,39;481.699,78;58.517,10;45.639,40;73.539,79;271.678,15;105.799,54;88.734,88;11.461,47;59.170,03;159.169,94;58.731,69;41.801,11;14.532,81;11.260,85;60.225,00;69.734,63;–;–;–;–;–;20.487.290,20;20.487.290.200,00
10;Altos cargos;–;1.234,56;512,34;180,00;95,00;–;–;412,00;3.456,78;–;1.234,56;2.345,67;6.789,01;567,89;10.234,56;234,56;678,90;89,00;76,00;123,45;456,78;178,90;145,67;23,45;123,45;345,67;123,45;98,76;34,56;23,45;123,45;145,67;–;–;–;–;–;30.456,78;30.456.780,00
11;Personal eventual;–;2.345,67;1.234,56;456,78;234,56;–;–;789,01;4.567,89;–;2.345,67;3.456,78;7.890,12;678,90;12.345,67;345,67;789,01;123,45;98,76;145,67;567,89;234,56;198,76;34,56;145,67;456,78;145,67;123,45;45,67;34,56;145,67;198,76;–;–;–;–;–;35.678,90;35.678.900,00
12;Funcionarios;–;120.345,67;50.123,45;15.678,90;8.234,56;–;–;35.789,01;1.789.012,34;–;289.012,34;1.456.789,01;4.567.890,12;345.678,90;6.789.012,34;145.678,90;398.012,34;45.678,90;34.567,89;56.789,01;198.012,34;89.012,34;67.890,12;8.901,23;45.678,90;123.456,78;45.678,90;34.567,89;12.345,67;9.876,54;45.678,90;56.789,01;–;–;–;–;–;17.890.123,45;17.890.123.450,00
13;Laborales;–;20.123,45;8.901,23;2.789,01;1.456,78;–;–;6.789,01;345.678,90;–;56.789,01;234.567,89;789.012,34;56.789,01;1.234.567,89;34.567,89;89.012,34;12.345,67;9.876,54;15.678,90;56.789,01;23.456,78;19.012,34;2.345,67;15.678,90;45.678,90;15.678,90;12.345,67;4.567,89;3.456,78;15.678,90;19.012,34;–;–;–;–;–;4.567.890,12;4.567.890.120,00
14;Otro personal;–;1.234,56;567,89;198,76;123,45;–;–;456,78;3.012,34;–;1.123,45;2.234,56;6.012,34;456,78;9.876,54;198,76;567,89;78,9;67,89;101,23;389,01;156,78;123,45;19,01;101,23;301,23;101,23;89,01;31,23;21,01;101,23;123,45;–;–;–;–;–;27.890,12;27.890.120,00
15;Incentivos al rendimiento;–;2.789,01;1.234,56;456,78;234,56;–;–;789,01;4.567,89;–;2.789,01;3.012,34;7.890,12;678,90;12.789,01;345,67;789,01;123,45;98,76;145,67;567,89;234,56;198,76;34,56;145,67;456,78;145,67;123,45;45,67;34,56;145,67;198,76;–;–;–;–;–;36.789,01;36.789.010,00
16;Cuotas, prestaciones y gastos sociales;–;15.678,90;6.789,01;2.345,67;1.234,56;–;–;5.678,90;289.012,34;–;45.678,90;189.012,34;567.890,12;45.678,90;1.012.345,67;28.901,23;78.901,23;10.234,56;8.901,23;14.567,89;45.678,90;18.901,23;14.567,89;2.012,34;14.567,89;45.678,90;14.567,89;12.345,67;4.567,89;3.456,78;14.567,89;18.901,23;–;–;–;–;–;3.456.789,01;3.456.789.010,00
17;Retribuciones en especie;–;123,45;56,78;19,01;12,34;–;–;45,67;301,23;–;112,34;223,45;601,23;45,67;987,65;19,01;56,78;7,89;6,78;10,12;38,90;15,67;12,34;1,9;10,12;30,12;10,12;8,9;3,12;2,1;10,12;12,34;–;–;–;–;–;2.789,01;2.789.010,00
18;Seguridad social del personal;–;34.567,89;15.678,90;5.678,90;2.789,01;–;–;13.456,78;789.012,34;–;123.456,78;456.789,01;1.234.567,89;98.765,43;2.789.012,34;56.789,01;156.789,01;20.123,45;17.890,12;29.012,34;89.012,34;36.789,01;28.901,23;4.567,89;29.012,34;89.012,34;29.012,34;24.567,89;9.012,34;6.789,01;29.012,34;36.789,01;–;–;–;–;–;7.890.123,45;7.890.123.450,00
19;Otras prestaciones sociales;–;678,90;289,01;101,23;56,78;–;–;190,12;4.012,34;–;623,45;1.234,56;3.012,34;234,56;4.567,89;101,23;289,01;45,67;34,56;56,78;190,12;78,90;62,34;9,01;56,78;178,90;56,78;45,67;16,78;12,34;56,78;67,89;–;–;–;–;–;1.234.567,89;1.234.567.890,00
20;Arrendamientos y cánones;–;1.234,56;567,89;198,76;123,45;–;–;456,78;3.012,34;–;1.123,45;2.234,56;6.012,34;456,78;9.876,54;198,76;567,89;78,9;67,89;101,23;389,01;156,78;123,45;19,01;101,23;301,23;101,23;89,01;31,23;21,01;101,23;123,45;–;–;–;–;–;27.890,12;27.890.120,00
21;Reparaciones, mantenimiento y conservación;–;2.789,01;1.234,56;456,78;234,56;–;–;789,01;4.567,89;–;2.789,01;3.012,34;7.890,12;678,9;12.789,01;345,67;789,01;123,45;98,76;145,67;567,89;234,56;198,76;34,56;145,67;456,78;145,67;123,45;45,67;34,56;145,67;198,76;–;–;–;–;–;36.789,01;36.789.010,00
