;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO, OO.AA., RESTO DE ENTIDADES DE DERECHO PÚBLICO DEL SECTOR PÚBLICO ADMINISTRATIVO ESTATAL CON PRESUPUESTO LIMITATIVO Y S.SOCIAL;
;Resumen orgánico por programas del presupuesto de gastos. Capítulos 1 a 8;
;;
;Sección: 26 MINISTERIO DE SANIDAD;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Clasif. por programas;Explicación;ESTADO;OO.AA.;R.ENTIDADES;Total;
231A; Plan Nacional sobre Drogas;15.111,84;;;15.111,84;
311M; Dirección y Servicios Generales de Sanidad;39.463,05;;;39.463,05;
311O; Políticas de Salud y Ordenación Profesional;7.805,72;;;7.805,72;
313A; Prestaciones sanitarias y farmacia;147.492,30;;58.762,62;206.254,92;
313B; Salud pública, sanidad exterior y calidad;717.728,97;;;717.728,97;
313D; Donación y trasplante de órganos, tejidos y células;;6.456,76;;6.456,76;
313E; Salud Digital, Información e Innovación del Sistema Nacional de Salud;28.965,88;;;28.965,88;
;TOTAL CONSOLIDADO;956.567,76;6.456,76;58.762,62;1.021.787,14;
000X; Transferencias y libramientos internos;315.391,47;;21.763,26;337.154,73;
;TOTAL TRANSFERENCIAS ENTRE SUBSECTORES;315.391,47;;21.763,26;337.154,73;
;TOTAL;1.271.959,23;6.456,76;80.525,88;1.358.941,87;
;;



