Económica;Explicación;Órgano gestor;Importe (mil €);Importe (€)
1;GASTOS DE PERSONAL;Dirección General de Aviación Civil;2.997,48;2.997.480,00 €
10;Altos cargos;Dirección General de Aviación Civil;61,04;61.040,00 €
12;Funcionarios;Dirección General de Aviación Civil;2.478,29;2.478.290,00 €
13;Laborales;Dirección General de Aviación Civil;128,15;128.150,00 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;Dirección General de Aviación Civil;330;330.000,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;Dirección General de Aviación Civil;1.210,62;1.210.620,00 €
22;Material, suministros y otros;Dirección General de Aviación Civil;1.210,62;1.210.620,00 €
22601;Atenciones protocolarias y representativas;Dirección General de Aviación Civil;2,25;2.250,00 €
3;GASTOS FINANCIEROS;Dirección General de Aviación Civil;0,19;190,00 €
35;Intereses de demora y otros gastos financieros;Dirección General de Aviación Civil;0,19;190,00 €
4;TRANSFERENCIAS CORRIENTES;Dirección General de Aviación Civil;1.755,31;1.755.310,00 €
49;Al exterior (cuotas a organismos internacionales);Dirección General de Aviación Civil;1.755,31;1.755.310,00 €
6;INVERSIONES REALES;Dirección General de Aviación Civil;4.346,68;4.346.680,00
—;TOTAL Dirección General de Aviación Civil;—;10.310,28;10.310.280,00 €
1;GASTOS DE PERSONAL;Agencia Estatal de Seguridad Aérea (AESA);23.308,18;23.308.180,00 €
15;Incentivos al rendimiento;AESA;1.622,99;1.622.990,00 €
150;Productividad;AESA;1.584,69;1.584.690,00
151;Gratificaciones;AESA;38,3;38.300,00 €
16200;Formación y perfeccionamiento del personal;AESA;400;400.000,00 €
16201;Economatos y comedores;AESA;216,15;216.150,00
16204;Acción social;AESA;48,48;48.480,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;AESA;90,79;90.790,00
202;Arrendamientos de edificios y otras construcciones;AESA;21,23;21.230,00 €
22109;Labores Fábrica Nacional Moneda y Timbre;AESA;2;2.000,00 €
22502;Locales;AESA;65,23;65.230,00 €
22601;Atenciones protocolarias y representativas;AESA;2,33;2.330,00 €
—;TOTAL Agencia Estatal de Seguridad Aérea (AESA);—;82.622,35;82.622.350,00 €
—;TOTAL PROGRAMA 455M – Regulación y supervisión de la aviación civil;—;92.932,63;92.932.630,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
