Económica;Explicación;17.20;17.39;Total (mil €);Total (€)
4;TRANSFERENCIAS CORRIENTES;98.116,04;1.844.925,85;1.943.041,89;1.943.041.890,00 €
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones…;800;1.313.641,00;1.314.441,00;1.314.441.000,00 €
45;A Comunidades Autónomas;350;451.445,52;451.795,52;451.795.520,00 €
46;A Entidades Locales;—;54.304,74;54.304,74;54.304.740,00 €
47;A empresas privadas;96.966,04;15.100,00;112.066,04;112.066.040,00 €
48;A familias e instituciones sin fines de lucro;—;10.200,00;10.200,00;10.200.000,00 €
49;Al exterior;—;234,59;234,59;234.590,00 €
7;TRANSFERENCIAS DE CAPITAL;1.200,00;660.000,00;661.200,00;661.200.000,00 €
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones…;—;660.000,00;660.000,00;660.000.000,00 €
78;A familias e instituciones sin fines de lucro;1.200,00;—;1.200,00;1.200.000,00 €
—;TOTAL PROGRAMA 441M;99.316,04;2.504.925,85;2.604.241,89;2.604.241.890,00 €
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
