Económica;Explicación;Órgano gestor;Importe (mil €);Importe (€)
4;TRANSFERENCIAS CORRIENTES;Dirección General de Marina Mercante;157.720,00;157.720.000,00 €
44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;Dirección General de Marina Mercante;157.720,00;157.720.000,00 €
441;Sociedad Estatal de Salvamento y Seguridad Marítima (SASEMAR);Dirección General de Marina Mercante;157.720,00;157.720.000,00 €
7;TRANSFERENCIAS DE CAPITAL;Dirección General de Marina Mercante;32.040,00;32.040.000,00 €
74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto del Sector Público Estatal;Dirección General de Marina Mercante;32.040,00;32.040.000,00 €
741;Sociedad Estatal de Salvamento y Seguridad Marítima (SASEMAR);Dirección General de Marina Mercante;32.040,00;32.040.000,00 €
—;TOTAL PROGRAMA 497M – Salvamento y lucha contra la contaminación en la mar;—;189.760,00;189.760.000,00 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
