Capítulo Económico;Detalle;Importe (mil €);Importe (€)
1 – Gastos de Personal;Altos cargos, funcionarios, laborales, incentivos, cuotas sociales;6.896,05;6.896.050,00 €
10;Altos cargos;100,52;100.520,00 €
12;Funcionarios;4.353,02;4.353.020,00 €
13;Laborales;519,01;519.010,00 €
15;Incentivos al rendimiento;844,66;844.660,00 €
16;Cuotas y prestaciones sociales;1.078,84;1.078.840,00 €
2 – Gastos Corrientes;Reparaciones, suministros, indemnizaciones;2.593,15;2.593.150,00 €
21;Reparaciones, mantenimiento y conservación;504,15;504.150,00 €
22;Material, suministros y otros;1.695,60;1.695.600,00 €
23;Indemnizaciones por razón del servicio;393;393.400,00 €
4 – Transferencias Corrientes;A familias e instituciones sin ánimo de lucro;104,87;104.870,00 €
48;Transferencias corrientes;104,87;104.870,00 €
6 – Inversiones Reales;Funcionamiento operativo e inversiones inmateriales;6.869,45;6.869.450,00 €
62;Inversión nueva asociada al funcionamiento operativo;22,5;22.500,00 €
63;Reposición asociada al funcionamiento operativo;159;159.000,00 €
64;Gastos de inversiones de carácter inmaterial;6.687,95;6.687.950,00 €
—;TOTAL PROGRAMA 453N;16.463,52;16.463.520,00 €
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
