Económica;Explicación;17.01;17.02;17.03;17.20;Total (mil €);Total (€)
1;GASTOS DE PERSONAL;63.488,86;;;;63.488,86;63.488.860,00 €
10;Altos cargos;533,52;;;;533,52;533.520,00 €
11;Personal eventual;626,4;;;;626,4;626.400,00 €
12;Funcionarios;37.514,75;;;;37.514,75;37.514.750,00 €
13;Laborales;5.698,66;;;;5.698,66;5.698.660,00 €
15;Incentivos al rendimiento;13.282,39;;;;13.282,39;13.282.390,00 €
16;Cuotas, prestaciones y gastos sociales del empleador;5.833,14;;;;5.833,14;5.833.140,00 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;21.133,15;10;375,47;469,08;21.987,70;21.987.700,00 €
20;Arrendamientos y cánones;898,37;;;;898,37;898.370,00 €
21;Reparaciones, mantenimiento y conservación;5.433,09;;;;5.433,09;5.433.090,00 €
22;Material, suministros y otros;11.500,09;10;113,3;469,08;12.092,47;12.092.470,00
23;Indemnizaciones por razón del servicio;3.301,60;;;;3.301,60;3.301.600,00 €
24;Gastos de publicaciones;;;262,17;;262,17;262.170,00 €
3;GASTOS FINANCIEROS;10,31;;3;3.500,00;3.513,31;3.513.310,00
35;Intereses de demora y otros gastos financieros;10,31;;3;3.500,00;3.513,31;3.513.310,00
4;TRANSFERENCIAS CORRIENTES;1.264,77;;1.010;8.066,13;10.340,90;10.340.900,00
44;A entidades del Sector Público Estatal;;;;5.620,00;5.620,00;5.620.000,00
45;A Comunidades Autónomas;;;;420;420;420.000,00
47;A empresas privadas;;;;1.640,13;1.640,13;1.640.130,00 €
48;A familias e instituciones sin fines de lucro;1.196,77;;200;385;1.781,77;1.781.770,00
49;Al exterior;68,00;;810;1;879;879.000,00
6;INVERSIONES REALES;9.622,80;1.968;213;3.900,00;15.703,80;15.703.800,00
62;Inversión nueva operativa;1.676,10;3,86;93;;1.772,96;1.772.960,00 €
63;Inversión de reposición operativa;4.618,73;3,86;120;;4.742,59;4.742.590,00
64;Inversiones inmateriales;3.327,97;1.960,28;;3.900,00;9.188,25;9.188.250,00
7;TRANSFERENCIAS DE CAPITAL;500,00;;;270.676,10;271.176,10;271.176.100,00
74;A entidades del Sector Público Estatal;;;;5.750,00;5.750,00;5.750.000,00
75;A Comunidades Autónomas;;;;264.091,10;264.091,10;264.091.100,00 €
76;A Entidades Locales;500;;;835,00;1.335,00;1.335.000,00
8;ACTIVOS FINANCIEROS;153,78;;;52.691,16;52.844,94;52.844.940,00
83;Préstamos fuera del Sector Público;153,78;;;;153,78;153.780,00 €
85;Adquisición de acciones del Sector Público;;;;52.691,16;52.691,16;52.691.160,00
—;TOTAL PROGRAMA 451N;96.173,67;1.978;1.601,47;339.302,47;439.055,61;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
